CustomerID,Gender,Age,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,OnlineBackup,TechSupport,StreamingTV,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,PaymentMethod,NumComplaints,Churn,ChurnProb,RiskTier,ChurnPred
C00020,Female,39,0,Yes,No,32,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,69.22,2253.7,Bank transfer,1,0,,Unknown,
C00021,Male,74,1,No,No,36,No,No,Yes,No,No,Month-to-month,No,18.0,655.6,Mailed check,0,0,,Unknown,
C00022,Male,42,0,No,No,27,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,60.31,1641.52,Mailed check,7,1,,Unknown,
C00023,Male,20,0,No,No,13,Yes,No,No,Yes,Yes,One year,No,18.0,184.53,Credit card,4,1,0.9807,High,1.0
C00024,Male,25,0,Yes,No,66,Yes,DSL,No internet service,No,Yes,Month-to-month,No,53.46,3546.93,Mailed check,2,0,0.0914,Low,0.0
C00025,Male,22,0,No,Yes,56,Yes,DSL,No,No,No internet service,One year,Yes,57.33,3212.11,Electronic check,2,0,,Unknown,
C00026,Female,39,0,Yes,No,46,Yes,DSL,No,No,No,One year,Yes,41.59,1913.71,Mailed check,1,0,,Unknown,
C00027,Female,36,0,No,No,29,Yes,Fiber optic,Yes,No internet service,Yes,Month-to-month,No,93.33,2709.94,Bank transfer,2,0,,Unknown,
C00028,Male,66,1,No,No,59,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,42.98,2539.79,Electronic check,3,1,0.2387,Low,0.0
C00029,Female,68,1,Yes,Yes,39,Yes,No,No internet service,No,No internet service,Two year,Yes,18.0,696.83,Electronic check,0,0,,Unknown,
C00030,Female,26,0,No,Yes,32,Yes,Fiber optic,No,Yes,No internet service,Month-to-month,Yes,93.22,2973.07,Bank transfer,3,0,,Unknown,
C00031,Male,71,1,Yes,No,32,Yes,No,No,No internet service,Yes,Month-to-month,No,18.0,547.94,Electronic check,1,0,,Unknown,
C00032,Female,51,0,Yes,No,17,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,73.1,1235.37,Bank transfer,1,0,,Unknown,
C00033,Female,35,0,Yes,No,7,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,68.25,499.97,Electronic check,1,0,,Unknown,
C00034,Female,41,0,Yes,No,40,Yes,Fiber optic,No internet service,Yes,Yes,One year,Yes,66.91,2665.42,Electronic check,1,0,,Unknown,
C00035,Male,43,0,No,No,64,No,Fiber optic,Yes,No,No internet service,Month-to-month,No,83.98,5390.57,Electronic check,1,1,,Unknown,
C00036,Male,27,0,No,No,5,Yes,Fiber optic,No,No,No,Month-to-month,Yes,93.67,446.94,Credit card,3,1,,Unknown,
C00037,Male,67,1,No,Yes,61,Yes,DSL,No,No,Yes,One year,Yes,32.02,1926.3,Bank transfer,2,0,,Unknown,
C00038,Male,18,0,No,Yes,59,Yes,No,No,No,No,Two year,Yes,18.0,1053.42,Electronic check,0,0,,Unknown,
C00039,Female,21,0,No,No,20,No,Fiber optic,No,No,No,Month-to-month,No,95.96,1937.75,Electronic check,2,1,,Unknown,
C00040,Female,33,0,Yes,No,45,Yes,Fiber optic,No internet service,Yes,No internet service,One year,Yes,79.19,3533.95,Electronic check,0,0,,Unknown,
C00041,Female,26,0,Yes,No,12,No,DSL,No internet service,No,Yes,Month-to-month,No,78.59,978.63,Mailed check,0,0,,Unknown,
C00042,Female,21,0,Yes,No,54,No,DSL,No internet service,Yes,No,One year,No,54.78,3000.72,Mailed check,6,1,0.9802,High,1.0
C00043,Female,39,0,No,Yes,50,No,DSL,No,Yes,No,Month-to-month,No,69.51,3489.79,Bank transfer,3,0,,Unknown,
C00044,Male,39,0,No,No,26,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,62.92,1625.2,Bank transfer,2,1,,Unknown,
C00045,Male,25,0,No,Yes,5,Yes,DSL,No internet service,Yes,No,Two year,Yes,51.06,245.82,Credit card,5,1,,Unknown,
C00046,Male,64,0,Yes,No,69,No,No,Yes,No,No,One year,No,18.0,1228.23,Electronic check,3,0,,Unknown,
C00047,Male,68,1,Yes,Yes,32,Yes,No,No internet service,No,No,Month-to-month,Yes,34.1,1077.29,Credit card,4,1,,Unknown,
C00048,Female,59,0,No,No,64,Yes,DSL,Yes,No internet service,Yes,Two year,No,44.38,2836.21,Bank transfer,0,0,,Unknown,
C00049,Male,47,0,Yes,No,49,Yes,Fiber optic,No internet service,No,No internet service,Month-to-month,Yes,99.02,4815.31,Electronic check,0,0,,Unknown,
C00050,Male,72,1,No,No,56,Yes,DSL,No,No,Yes,One year,No,52.91,2969.79,Credit card,2,0,0.0533,Low,0.0
C00051,Male,37,0,Yes,Yes,54,Yes,Fiber optic,No,No,Yes,One year,Yes,84.93,4563.32,Credit card,3,0,,Unknown,
C00052,Female,42,0,Yes,Yes,14,No,DSL,No internet service,No internet service,Yes,Two year,No,48.87,666.99,Electronic check,1,0,,Unknown,
C00053,Female,18,0,No,No,26,Yes,No,Yes,No,Yes,Month-to-month,Yes,36.72,939.61,Bank transfer,6,1,0.9961,High,1.0
C00054,Male,58,0,No,Yes,34,Yes,No,No,No,Yes,One year,No,25.56,876.44,Mailed check,1,0,,Unknown,
C00055,Male,23,0,No,Yes,36,Yes,DSL,Yes,No,Yes,One year,Yes,55.65,2025.36,Credit card,1,0,,Unknown,
C00056,Male,55,0,No,No,4,Yes,DSL,No internet service,Yes,No,Month-to-month,Yes,49.59,178.04,Mailed check,3,0,,Unknown,
C00057,Female,62,0,Yes,Yes,39,Yes,Fiber optic,No,Yes,No,Two year,Yes,88.58,3478.65,Electronic check,0,0,,Unknown,
C00058,Male,30,0,No,Yes,11,Yes,Fiber optic,Yes,No internet service,No internet service,Month-to-month,No,62.65,666.65,Electronic check,0,0,,Unknown,
C00059,Female,52,0,No,No,53,Yes,DSL,Yes,No,No,Month-to-month,No,54.52,2874.74,Electronic check,2,0,,Unknown,
C00060,Female,35,0,No,No,49,No,No,No internet service,No,No internet service,One year,Yes,29.39,1458.28,Bank transfer,1,0,,Unknown,
C00061,Female,40,0,No,No,66,No,No,No internet service,No,Yes,Month-to-month,Yes,29.59,1919.5,Mailed check,0,0,,Unknown,
C00062,Male,48,0,Yes,No,53,Yes,Fiber optic,No internet service,Yes,Yes,Two year,No,66.55,3515.96,Credit card,3,0,,Unknown,
C00063,Male,32,0,Yes,No,27,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,35.95,952.19,Credit card,0,0,,Unknown,
C00064,Male,63,0,No,No,69,Yes,Fiber optic,No,No,No,Month-to-month,Yes,101.96,7026.06,Bank transfer,0,0,,Unknown,
C00065,Female,40,0,No,No,30,Yes,Fiber optic,No,No,No internet service,One year,Yes,92.71,2767.62,Mailed check,0,0,,Unknown,
C00066,Male,44,0,Yes,Yes,24,Yes,No,No,No,Yes,Two year,Yes,24.13,544.27,Mailed check,2,0,,Unknown,
C00067,Male,64,0,Yes,No,65,Yes,Fiber optic,No internet service,No,No,One year,No,72.2,4705.39,Mailed check,2,0,,Unknown,
C00068,Male,30,0,No,No,27,Yes,Fiber optic,Yes,No,No,Month-to-month,No,62.11,1683.86,Bank transfer,7,1,,Unknown,
C00069,Female,43,0,No,No,6,Yes,DSL,No,No,Yes,Month-to-month,Yes,44.07,282.34,Mailed check,2,1,,Unknown,
C00070,Female,74,1,No,No,34,Yes,Fiber optic,Yes,No,No,One year,No,71.31,2416.23,Credit card,1,0,,Unknown,
C00071,Male,40,0,Yes,No,57,No,DSL,No,No,Yes,Two year,No,46.92,2672.77,Bank transfer,0,0,,Unknown,
C00072,Female,24,0,No,No,14,Yes,DSL,Yes,Yes,Yes,One year,Yes,43.69,629.48,Bank transfer,2,1,,Unknown,
C00073,Female,34,0,No,No,33,Yes,Fiber optic,Yes,Yes,No internet service,One year,Yes,70.95,2345.81,Credit card,6,1,,Unknown,
C00074,Female,72,1,No,No,10,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes,93.81,956.17,Credit card,3,0,,Unknown,
C00075,Female,61,0,Yes,No,49,Yes,DSL,Yes,No,No internet service,Month-to-month,Yes,43.85,2165.22,Bank transfer,1,0,0.0453,Low,0.0
C00076,Male,64,0,No,No,34,Yes,DSL,No,No,No,Month-to-month,Yes,67.69,2302.25,Electronic check,0,0,0.0445,Low,0.0
C00077,Female,32,0,No,No,24,Yes,No,No,No,Yes,Month-to-month,Yes,22.2,534.63,Bank transfer,0,0,,Unknown,
C00078,Female,65,1,No,No,17,No,Fiber optic,No internet service,No,No,Month-to-month,Yes,78.39,1331.31,Mailed check,2,0,,Unknown,
C00079,Female,40,0,No,Yes,41,Yes,Fiber optic,No,No,No,One year,No,89.39,3666.94,Electronic check,3,0,,Unknown,
C00080,Female,63,0,No,Yes,48,Yes,No,No,Yes,No,Month-to-month,Yes,33.08,1576.81,Mailed check,2,0,,Unknown,
C00081,Female,68,1,Yes,No,67,Yes,No,No internet service,Yes,No,Month-to-month,No,31.64,2126.84,Electronic check,0,0,,Unknown,
C00082,Male,29,0,No,Yes,32,No,DSL,No,No,Yes,Two year,No,39.91,1280.9,Electronic check,3,0,,Unknown,
C00083,Female,71,1,No,Yes,12,Yes,Fiber optic,No,No,No internet service,Month-to-month,No,42.56,498.63,Bank transfer,6,1,,Unknown,
C00084,Female,54,0,Yes,Yes,60,Yes,DSL,No internet service,No,Yes,One year,Yes,43.62,2625.12,Electronic check,2,0,,Unknown,
C00085,Male,59,0,Yes,No,45,Yes,Fiber optic,No internet service,No,No,One year,Yes,97.01,4389.99,Mailed check,3,0,,Unknown,
C00086,Male,61,0,No,No,50,Yes,Fiber optic,Yes,No internet service,Yes,Two year,Yes,105.3,5265.37,Electronic check,1,0,0.035,Low,0.0
C00087,Female,27,0,Yes,No,7,Yes,DSL,Yes,No internet service,No,Two year,Yes,71.65,502.91,Electronic check,0,0,,Unknown,
C00088,Male,60,0,No,No,23,Yes,Fiber optic,Yes,No internet service,Yes,Two year,Yes,80.57,1856.9,Electronic check,0,0,0.0352,Low,0.0
C00089,Female,30,0,Yes,No,55,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,68.56,3732.83,Bank transfer,4,1,,Unknown,
C00090,Female,33,0,Yes,No,60,Yes,Fiber optic,No,No internet service,Yes,One year,No,73.98,4431.49,Bank transfer,2,0,,Unknown,
C00091,Female,24,0,Yes,No,31,Yes,DSL,Yes,No,No internet service,Two year,No,48.5,1549.89,Electronic check,3,0,,Unknown,
C00092,Male,28,0,No,No,58,No,No,No,Yes,Yes,Month-to-month,Yes,27.47,1593.89,Mailed check,2,0,,Unknown,
C00093,Male,73,1,No,No,60,Yes,Fiber optic,No,Yes,Yes,One year,No,61.6,3677.94,Electronic check,2,0,,Unknown,
C00094,Female,36,0,Yes,No,28,No,DSL,No,Yes,No,Month-to-month,Yes,67.04,1876.49,Bank transfer,1,0,,Unknown,
C00095,Female,40,0,Yes,Yes,64,Yes,Fiber optic,Yes,No internet service,Yes,One year,No,89.49,5716.08,Bank transfer,2,0,,Unknown,
C00096,Male,45,0,Yes,Yes,21,Yes,DSL,Yes,No,No internet service,Month-to-month,Yes,49.42,1041.14,Mailed check,7,1,,Unknown,
C00097,Male,58,0,No,No,18,Yes,Fiber optic,No,Yes,Yes,One year,Yes,60.14,1086.13,Electronic check,3,0,,Unknown,
C00098,Male,50,0,No,No,49,No,Fiber optic,Yes,Yes,No internet service,Month-to-month,Yes,81.56,3995.42,Electronic check,3,0,,Unknown,
C00099,Female,48,0,No,No,46,Yes,DSL,No,No internet service,Yes,Month-to-month,No,55.27,2560.04,Mailed check,1,1,,Unknown,
C00100,Female,65,1,Yes,Yes,10,Yes,DSL,No,No,No,Month-to-month,Yes,35.41,329.92,Bank transfer,1,1,,Unknown,
C00101,Male,46,0,No,No,60,Yes,DSL,No,No internet service,No internet service,One year,Yes,48.99,2945.72,Electronic check,1,0,,Unknown,
C00102,Male,61,0,Yes,No,15,Yes,Fiber optic,No internet service,Yes,Yes,Two year,Yes,102.46,1557.84,Bank transfer,5,1,,Unknown,
C00103,Male,69,1,Yes,No,58,Yes,Fiber optic,Yes,No internet service,No internet service,Month-to-month,No,69.69,4036.38,Credit card,3,0,,Unknown,
C00104,Female,56,0,Yes,No,1,Yes,DSL,Yes,Yes,No,Month-to-month,Yes,68.29,84.54,Credit card,3,1,,Unknown,
C00105,Male,20,0,Yes,No,57,Yes,DSL,No internet service,No,No,One year,Yes,50.49,2873.5,Electronic check,3,0,0.038,Low,0.0
C00106,Male,33,0,Yes,No,56,Yes,No,No,No internet service,Yes,One year,Yes,35.86,1986.14,Mailed check,0,0,,Unknown,
C00107,Male,53,0,No,No,56,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,78.5,4358.11,Credit card,0,0,,Unknown,
C00108,Female,45,0,Yes,No,48,No,DSL,No,No,No internet service,One year,Yes,60.36,2886.19,Mailed check,3,0,,Unknown,
C00109,Male,34,0,No,No,34,Yes,Fiber optic,No,No,Yes,Two year,Yes,83.18,2821.95,Bank transfer,2,0,,Unknown,
C00110,Male,37,0,No,No,51,No,DSL,No,No,Yes,Month-to-month,Yes,53.41,2767.94,Mailed check,5,1,,Unknown,
C00111,Female,22,0,No,Yes,20,Yes,No,No internet service,No,Yes,Month-to-month,Yes,26.12,523.26,Electronic check,3,0,,Unknown,
C00112,Male,31,0,No,No,56,Yes,DSL,Yes,No,Yes,Month-to-month,No,44.93,2504.74,Electronic check,2,0,,Unknown,
C00113,Male,62,0,No,No,40,Yes,No,No,Yes,Yes,Two year,Yes,18.07,733.25,Mailed check,1,0,,Unknown,
C00114,Female,18,0,Yes,Yes,33,Yes,Fiber optic,Yes,No internet service,Yes,Two year,Yes,73.0,2401.34,Mailed check,0,0,,Unknown,
C00115,Female,65,1,Yes,No,36,Yes,DSL,No,No internet service,Yes,Month-to-month,Yes,36.81,1345.74,Mailed check,2,0,,Unknown,
C00116,Male,37,0,No,No,41,Yes,Fiber optic,No,No internet service,No,Two year,No,90.74,3751.25,Credit card,0,0,,Unknown,
C00117,Male,64,0,No,Yes,3,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,30.29,94.11,Credit card,3,0,,Unknown,
C00118,Male,32,0,No,No,10,Yes,Fiber optic,No,No,No internet service,One year,Yes,96.65,930.88,Electronic check,0,0,,Unknown,
C00119,Female,65,1,No,Yes,18,Yes,DSL,No internet service,Yes,No,One year,No,44.97,807.45,Credit card,3,0,,Unknown,
C00120,Female,50,0,No,No,9,Yes,No,Yes,Yes,No,Two year,Yes,27.77,246.67,Electronic check,0,0,,Unknown,
C00121,Female,66,1,No,No,32,Yes,DSL,No,No internet service,Yes,One year,No,38.13,1252.97,Bank transfer,5,1,0.9767,High,1.0
C00122,Female,21,0,No,No,48,Yes,DSL,No internet service,No,No,Month-to-month,Yes,47.33,2280.57,Electronic check,1,0,,Unknown,
C00123,Male,63,0,No,No,47,Yes,DSL,Yes,Yes,No,Month-to-month,Yes,48.74,2282.85,Electronic check,2,0,,Unknown,
C00124,Female,33,0,No,Yes,34,Yes,No,No internet service,Yes,No,Month-to-month,No,29.01,1014.34,Mailed check,4,1,0.9898,High,1.0
C00125,Female,38,0,No,No,61,Yes,DSL,No,No internet service,Yes,Two year,Yes,39.91,2431.92,Electronic check,3,0,0.0411,Low,0.0
C00126,Male,20,0,No,Yes,41,Yes,DSL,No internet service,Yes,No,Month-to-month,Yes,72.4,2965.79,Credit card,3,0,,Unknown,
C00127,Female,72,1,No,No,6,Yes,No,Yes,No,No,Month-to-month,No,27.43,154.56,Electronic check,2,0,,Unknown,
C00128,Female,54,0,Yes,No,55,Yes,Fiber optic,No,No,Yes,Month-to-month,No,39.36,2188.14,Credit card,1,1,,Unknown,
C00129,Female,73,1,Yes,Yes,41,Yes,DSL,Yes,No,No,Month-to-month,Yes,37.54,1528.2,Bank transfer,4,1,,Unknown,
C00130,Female,50,0,No,No,46,Yes,Fiber optic,No internet service,Yes,Yes,Month-to-month,No,104.15,4803.78,Mailed check,4,1,,Unknown,
C00131,Male,27,0,Yes,No,41,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,68.13,2801.52,Electronic check,2,0,,Unknown,
C00132,Male,37,0,Yes,No,40,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,82.2,3289.29,Bank transfer,2,0,0.1338,Low,0.0
C00133,Male,43,0,No,Yes,7,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,47.73,352.39,Bank transfer,1,1,,Unknown,
C00134,Female,26,0,No,No,40,No,Fiber optic,No internet service,No,Yes,Month-to-month,No,83.93,3388.08,Electronic check,3,0,,Unknown,
C00135,Female,71,1,No,Yes,57,Yes,Fiber optic,No internet service,No internet service,No internet service,Two year,Yes,83.74,4748.78,Electronic check,5,1,,Unknown,
C00136,Male,72,1,No,No,22,Yes,Fiber optic,No internet service,No,No,One year,No,90.47,1987.14,Credit card,2,0,,Unknown,
C00137,Male,50,0,Yes,No,43,Yes,DSL,Yes,Yes,No internet service,One year,Yes,59.75,2564.31,Bank transfer,2,0,,Unknown,
C00138,Male,51,0,Yes,No,3,Yes,Fiber optic,No internet service,Yes,No internet service,Two year,Yes,95.36,288.21,Bank transfer,0,0,,Unknown,
C00139,Female,58,0,No,No,25,Yes,Fiber optic,No,No,No,One year,No,47.72,1181.51,Electronic check,2,1,0.0625,Low,0.0
C00140,Male,56,0,Yes,No,32,Yes,No,No,Yes,No,One year,Yes,18.0,555.44,Electronic check,7,1,,Unknown,
C00141,Male,21,0,No,No,70,No,No,Yes,Yes,No,Month-to-month,Yes,18.0,1257.83,Mailed check,0,0,,Unknown,
C00142,Male,48,0,No,No,16,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,26.24,440.25,Electronic check,7,1,,Unknown,
C00143,Female,62,0,No,No,20,Yes,No,No,Yes,No,Month-to-month,Yes,18.0,355.95,Bank transfer,3,0,,Unknown,
C00144,Male,63,0,No,No,30,Yes,No,No internet service,No,No,Two year,Yes,24.75,750.85,Credit card,3,0,,Unknown,
C00145,Male,51,0,No,No,71,No,Fiber optic,No,Yes,Yes,Month-to-month,Yes,94.04,6707.74,Mailed check,0,0,,Unknown,
C00146,Male,69,1,No,Yes,61,Yes,DSL,No,Yes,No,Month-to-month,Yes,45.91,2803.84,Credit card,3,0,,Unknown,
C00147,Male,51,0,Yes,No,3,Yes,Fiber optic,Yes,Yes,No,Two year,No,93.24,299.54,Mailed check,1,0,,Unknown,
C00148,Male,39,0,No,No,17,No,DSL,Yes,No,Yes,Month-to-month,Yes,44.41,776.59,Electronic check,3,1,,Unknown,
C00149,Female,43,0,Yes,No,59,Yes,DSL,No internet service,No,No,One year,No,45.07,2683.75,Electronic check,3,0,,Unknown,
C00150,Female,57,0,No,No,5,Yes,DSL,No,Yes,Yes,One year,Yes,59.28,338.05,Mailed check,5,1,,Unknown,
C00151,Female,68,1,Yes,Yes,61,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,59.89,3650.99,Credit card,2,0,,Unknown,
C00152,Female,31,0,No,Yes,20,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,64.16,1301.47,Credit card,7,1,,Unknown,
C00153,Female,34,0,No,No,66,Yes,Fiber optic,No internet service,No internet service,No,Month-to-month,Yes,82.37,5440.95,Electronic check,4,1,,Unknown,
C00154,Male,55,0,Yes,No,21,Yes,DSL,No,No,No,One year,Yes,53.75,1138.77,Mailed check,3,0,,Unknown,
C00155,Female,61,0,No,No,31,Yes,No,No,No,No,Two year,Yes,18.0,566.23,Electronic check,3,0,,Unknown,
C00156,Male,40,0,Yes,No,47,No,Fiber optic,No internet service,No,No,Two year,No,52.23,2478.53,Electronic check,2,0,,Unknown,
C00157,Male,54,0,Yes,Yes,9,Yes,DSL,Yes,No,No internet service,Month-to-month,Yes,39.91,349.02,Bank transfer,0,0,0.0355,Low,0.0
C00158,Female,18,0,Yes,No,40,Yes,DSL,No,No,Yes,Month-to-month,No,49.74,1997.39,Electronic check,3,1,0.1128,Low,0.0
C00159,Male,34,0,Yes,No,36,No,DSL,No,No,No internet service,One year,No,43.05,1524.38,Bank transfer,2,0,,Unknown,
C00160,Male,72,1,No,No,56,Yes,No,No,No,Yes,One year,Yes,33.2,1843.37,Credit card,0,0,0.0205,Low,0.0
C00161,Male,50,0,No,Yes,71,No,DSL,Yes,No,No,Month-to-month,Yes,55.06,3897.91,Electronic check,3,1,,Unknown,
C00162,Male,67,1,No,No,48,Yes,No,Yes,Yes,Yes,Month-to-month,No,18.0,875.84,Electronic check,3,0,0.2948,Low,0.0
C00163,Female,30,0,No,No,30,Yes,DSL,No internet service,No,No internet service,Month-to-month,Yes,65.84,1983.56,Mailed check,1,0,,Unknown,
C00164,Female,34,0,No,No,29,Yes,No,No internet service,No,Yes,Month-to-month,Yes,27.56,827.3,Electronic check,2,0,0.1774,Low,0.0
C00165,Male,73,1,No,No,30,Yes,DSL,No internet service,Yes,No,One year,Yes,54.74,1662.06,Bank transfer,0,0,,Unknown,
C00166,Male,74,1,No,Yes,58,Yes,Fiber optic,No,No internet service,No,Two year,No,70.27,4075.32,Bank transfer,2,1,,Unknown,
C00167,Female,67,1,Yes,No,23,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,67.11,1603.86,Mailed check,3,1,0.4714,Medium,0.0
C00168,Female,36,0,No,Yes,12,Yes,DSL,No,Yes,No internet service,Month-to-month,Yes,66.32,799.66,Electronic check,2,0,,Unknown,
C00169,Male,63,0,No,No,24,Yes,No,No,No,Yes,Month-to-month,No,25.92,594.18,Mailed check,0,0,,Unknown,
C00170,Female,44,0,Yes,No,2,Yes,Fiber optic,Yes,No internet service,Yes,Month-to-month,No,98.29,171.28,Bank transfer,1,0,,Unknown,
C00171,Male,66,1,Yes,Yes,8,Yes,DSL,Yes,No,No,Month-to-month,Yes,52.78,436.23,Credit card,1,1,,Unknown,
C00172,Male,66,1,Yes,No,7,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No,66.56,434.68,Electronic check,6,1,,Unknown,
C00173,Male,42,0,Yes,Yes,55,Yes,DSL,Yes,Yes,No,Month-to-month,No,62.74,3454.5,Credit card,2,1,,Unknown,
C00174,Female,35,0,No,No,52,Yes,No,Yes,No internet service,Yes,One year,Yes,27.6,1428.57,Electronic check,1,0,,Unknown,
C00175,Male,73,1,Yes,Yes,50,Yes,Fiber optic,No,No,No,One year,Yes,109.27,5501.46,Electronic check,1,0,0.04,Low,0.0
C00176,Male,43,0,No,No,33,Yes,DSL,No internet service,Yes,No,One year,No,43.63,1416.31,Bank transfer,3,0,0.0503,Low,0.0
C00177,Male,42,0,No,No,51,Yes,DSL,No,No,No internet service,Month-to-month,No,73.66,3776.57,Mailed check,4,1,,Unknown,
C00178,Male,55,0,Yes,Yes,12,Yes,DSL,Yes,Yes,Yes,Month-to-month,Yes,64.53,767.38,Electronic check,2,0,0.1786,Low,0.0
C00179,Female,71,1,No,No,64,Yes,No,Yes,No,Yes,Month-to-month,Yes,23.81,1515.04,Mailed check,0,0,,Unknown,
C00180,Male,25,0,No,Yes,36,Yes,DSL,No,No,No,Month-to-month,Yes,72.06,2624.59,Credit card,3,0,,Unknown,
C00181,Male,74,1,No,No,67,Yes,DSL,No,No,Yes,Month-to-month,No,71.41,4774.45,Bank transfer,3,0,0.2862,Low,0.0
C00182,Female,42,0,No,Yes,11,Yes,No,No,No internet service,No,Month-to-month,No,28.85,299.37,Bank transfer,3,1,,Unknown,
C00183,Female,19,0,No,No,36,Yes,DSL,Yes,No,No internet service,Two year,Yes,44.72,1600.61,Bank transfer,1,0,,Unknown,
C00184,Male,35,0,Yes,Yes,50,Yes,DSL,No,No,No internet service,Two year,No,60.65,3012.48,Mailed check,3,0,,Unknown,
C00185,Female,44,0,Yes,Yes,36,Yes,Fiber optic,No,No,Yes,One year,Yes,70.7,2514.41,Electronic check,3,0,0.0425,Low,0.0
C00186,Female,56,0,Yes,Yes,32,No,DSL,Yes,Yes,No internet service,One year,Yes,87.3,2778.13,Bank transfer,3,0,,Unknown,
C00187,Female,50,0,Yes,No,12,Yes,No,No internet service,No,No,One year,Yes,27.71,300.29,Credit card,3,0,,Unknown,
C00188,Female,25,0,No,No,28,Yes,Fiber optic,No,No internet service,No internet service,One year,No,72.17,2003.46,Bank transfer,7,1,0.989,High,1.0
C00189,Female,45,0,Yes,No,17,Yes,DSL,Yes,No,No internet service,One year,Yes,50.11,834.1,Electronic check,0,0,,Unknown,
C00190,Male,31,0,No,No,22,Yes,Fiber optic,No,No,Yes,Month-to-month,No,77.01,1699.3,Bank transfer,4,1,,Unknown,
