CustomerID,Gender,Age,SeniorCitizen,Partner,Dependents,Tenure
C00133,Male,43,0,No,Yes,7
C00134,Female,26,0,No,No,40
C00135,Female,71,1,No,Yes,57
C00136,Male,72,1,No,No,22
C00137,Male,50,0,Yes,No,43
C00138,Male,51,0,Yes,No,3
C00139,Female,58,0,No,No,25
C00140,Male,56,0,Yes,No,32
C00141,Male,21,0,No,No,70
C00142,Male,48,0,No,No,16
C00143,Female,62,0,No,No,20
C00144,Male,63,0,No,No,30
C00145,Male,51,0,No,No,71
C00146,Male,69,1,No,Yes,61
C00147,Male,51,0,Yes,No,3
C00148,Male,39,0,No,No,17
C00149,Female,43,0,Yes,No,59
C00150,Female,57,0,No,No,5
C00151,Female,68,1,Yes,Yes,61
C00152,Female,31,0,No,Yes,20
C00153,Female,34,0,No,No,66
C00154,Male,55,0,Yes,No,21
C00155,Female,61,0,No,No,31
C00156,Male,40,0,Yes,No,47
C00157,Male,54,0,Yes,Yes,9
C00158,Female,18,0,Yes,No,40
C00159,Male,34,0,Yes,No,36
C00160,Male,72,1,No,No,56
C00161,Male,50,0,No,Yes,71
C00162,Male,67,1,No,No,48
C00163,Female,30,0,No,No,30
C00164,Female,34,0,No,No,29
C00165,Male,73,1,No,No,30
C00166,Male,74,1,No,Yes,58
C00167,Female,67,1,Yes,No,23
C00168,Female,36,0,No,Yes,12
C00169,Male,63,0,No,No,24
C00170,Female,44,0,Yes,No,2
C00171,Male,66,1,Yes,Yes,8
C00172,Male,66,1,Yes,No,7
C00173,Male,42,0,Yes,Yes,55
C00174,Female,35,0,No,No,52
C00175,Male,73,1,Yes,Yes,50
C00176,Male,43,0,No,No,33
C00177,Male,42,0,No,No,51
C00178,Male,55,0,Yes,Yes,12
C00179,Female,71,1,No,No,64
C00180,Male,25,0,No,Yes,36
C00181,Male,74,1,No,No,67
C00182,Female,42,0,No,Yes,11
C00183,Female,19,0,No,No,36
C00184,Male,35,0,Yes,Yes,50
C00185,Female,44,0,Yes,Yes,36
C00186,Female,56,0,Yes,Yes,32
C00187,Female,50,0,Yes,No,12
C00188,Female,25,0,No,No,28
C00189,Female,45,0,Yes,No,17
C00190,Male,31,0,No,No,22
C00191,Male,33,0,Yes,Yes,49
C00192,Male,58,0,No,No,45
C00193,Male,63,0,No,No,44
C00194,Female,26,0,No,No,26
C00195,Male,52,0,No,No,69
C00196,Male,42,0,Yes,No,7
C00197,Female,37,0,No,Yes,25
C00198,Female,58,0,Yes,No,9
C00199,Female,32,0,No,Yes,25
C00200,Male,61,0,No,No,69
C00201,Male,40,0,Yes,Yes,27
C00202,Female,23,0,Yes,No,65
C00203,Male,63,0,Yes,No,36
C00204,Male,66,1,No,No,50
C00205,Female,50,0,No,No,33
C00206,Male,59,0,Yes,No,19
C00207,Female,26,0,Yes,No,55
C00208,Male,37,0,Yes,No,69
C00209,Female,37,0,No,No,19
C00210,Female,61,0,Yes,Yes,56
C00211,Female,38,0,Yes,No,19
C00212,Male,59,0,No,No,51
C00213,Female,35,0,Yes,No,57
C00214,Female,52,0,No,Yes,32
C00215,Female,29,0,No,No,53
C00216,Male,49,0,Yes,No,20
C00217,Male,22,0,No,No,6
C00218,Male,59,0,Yes,No,7
C00219,Male,19,0,Yes,Yes,32
C00220,Female,74,1,No,No,65
C00221,Female,65,1,No,No,10
C00222,Female,50,0,No,No,33
C00223,Female,69,1,Yes,No,50
C00224,Female,64,0,Yes,Yes,15
C00225,Male,26,0,Yes,No,52
C00226,Male,60,0,No,Yes,22
C00227,Female,39,0,No,No,58
C00228,Male,66,1,No,No,42
C00229,Male,67,1,No,Yes,39
C00230,Female,72,1,Yes,No,13
C00231,Female,43,0,No,No,33
C00232,Male,29,0,Yes,No,61
C00233,Male,25,0,Yes,Yes,2
C00234,Male,27,0,No,No,54
C00235,Female,74,1,No,No,35
C00236,Female,51,0,Yes,No,52
C00237,Female,38,0,Yes,No,48
C00238,Female,43,0,No,No,31
C00239,Male,27,0,Yes,No,22
C00240,Female,50,0,No,Yes,45
C00241,Male,42,0,No,Yes,10
C00242,Male,63,0,Yes,No,42
C00243,Female,19,0,Yes,No,7
C00244,Female,71,1,Yes,No,47
C00245,Male,21,0,No,Yes,45
C00246,Male,41,0,Yes,Yes,6
C00247,Male,37,0,No,No,54
C00248,Female,58,0,Yes,Yes,30
C00249,Female,55,0,No,No,56
C00250,Male,29,0,Yes,No,3
C00251,Male,45,0,Yes,Yes,13
C00252,Male,48,0,No,No,36
C00253,Male,44,0,No,No,14
C00254,Male,19,0,Yes,No,24
C00255,Male,28,0,Yes,Yes,47
C00256,Male,46,0,No,No,11
C00257,Female,32,0,Yes,No,49
C00258,Female,49,0,Yes,No,8
C00259,Male,27,0,Yes,Yes,13
C00260,Female,59,0,Yes,Yes,42
C00261,Male,28,0,No,No,57
C00262,Female,55,0,No,No,13
C00263,Male,65,1,No,No,22
C00264,Female,38,0,No,No,66
C00265,Male,25,0,Yes,No,71
C00266,Female,18,0,No,No,42
C00267,Male,38,0,Yes,Yes,32
C00268,Female,24,0,Yes,Yes,25
C00269,Male,68,1,No,Yes,44
C00270,Female,73,1,Yes,No,42
C00271,Male,73,1,Yes,Yes,21
C00272,Female,70,1,Yes,No,2
C00273,Male,51,0,No,No,11
C00274,Female,36,0,Yes,No,69
C00275,Female,43,0,No,No,30
C00276,Female,32,0,No,Yes,35
C00277,Male,65,1,No,No,34
C00278,Male,42,0,Yes,No,56
C00279,Male,39,0,No,No,5
C00280,Female,57,0,Yes,No,6
C00281,Female,39,0,No,No,20
C00282,Male,38,0,No,No,35
C00283,Female,30,0,Yes,Yes,48
C00284,Male,21,0,No,No,35
C00285,Female,20,0,No,No,32
C00286,Male,40,0,Yes,Yes,67
C00287,Male,74,1,Yes,Yes,12
C00288,Male,32,0,No,No,41
C00289,Male,54,0,No,No,39
C00290,Male,36,0,No,Yes,34
C00291,Male,35,0,Yes,No,58
C00292,Male,27,0,No,No,19
C00293,Male,50,0,No,No,68
C00294,Female,55,0,No,No,24
C00295,Male,37,0,No,No,39
C00296,Male,48,0,Yes,Yes,37
C00297,Female,45,0,No,No,61
C00298,Female,33,0,Yes,Yes,32
C00299,Male,57,0,Yes,No,21
C00300,Female,49,0,No,No,2
C00301,Female,21,0,Yes,No,26
C00302,Female,46,0,Yes,No,59
C00303,Male,40,0,Yes,No,1
C00304,Male,63,0,No,No,64
C00305,Male,35,0,No,Yes,39
C00306,Female,72,1,Yes,No,10
C00307,Female,53,0,Yes,No,22
C00308,Female,25,0,No,No,40
C00309,Female,40,0,Yes,No,23
C00310,Male,68,1,No,No,8
C00311,Male,32,0,No,No,48
C00312,Female,58,0,Yes,No,48
C00313,Female,62,0,No,Yes,9
C00314,Male,57,0,Yes,No,20
C00315,Male,23,0,No,No,18
C00316,Female,39,0,Yes,No,47
C00317,Male,37,0,No,No,52
C00318,Male,37,0,No,No,52
C00319,Female,68,1,No,No,67
C00320,Male,18,0,No,No,55
C00321,Male,48,0,Yes,No,23
C00322,Female,73,1,No,No,8
C00323,Male,67,1,No,No,44
C00324,Female,52,0,Yes,No,66
C00325,Male,74,1,Yes,Yes,70
C00326,Male,40,0,Yes,No,17
C00327,Male,52,0,Yes,Yes,17
C00328,Female,48,0,No,No,3
C00329,Male,20,0,Yes,Yes,11
C00330,Female,20,0,No,No,40
C00331,Male,69,1,No,No,39
C00332,Male,27,0,Yes,No,27
C00333,Female,38,0,No,No,23
C00334,Female,53,0,Yes,Yes,59
C00335,Female,50,0,Yes,Yes,33
C00336,Male,47,0,Yes,Yes,58
C00337,Male,73,1,Yes,No,69
C00338,Female,62,0,Yes,No,23
C00339,Male,71,1,Yes,No,15
C00340,Male,55,0,Yes,No,68
C00341,Female,73,1,Yes,Yes,46
C00342,Female,52,0,No,No,21
C00343,Male,48,0,Yes,No,45
C00344,Female,64,0,No,No,37
C00345,Female,67,1,No,Yes,65
C00346,Male,21,0,No,No,19
C00347,Female,69,1,No,No,71
C00348,Female,57,0,No,Yes,67
C00349,Male,69,1,No,No,13
C00350,Male,58,0,No,No,12
C00351,Male,70,1,No,No,38
C00352,Female,33,0,Yes,No,4
C00353,Male,28,0,No,No,22
C00354,Male,29,0,No,No,31
C00355,Male,32,0,Yes,No,69
C00356,Male,30,0,No,No,71
C00357,Male,43,0,No,No,11
C00358,Female,29,0,No,No,64
C00359,Female,27,0,Yes,No,7
C00360,Male,47,0,Yes,No,54
C00361,Male,63,0,Yes,No,61
C00362,Male,25,0,No,Yes,64
C00363,Female,47,0,No,No,16
C00364,Female,55,0,No,No,64
C00365,Female,58,0,Yes,Yes,9
C00366,Female,23,0,Yes,No,37
C00367,Male,59,0,No,No,34
C00368,Male,19,0,No,No,23
C00369,Male,31,0,No,No,2
C00370,Female,36,0,Yes,No,55
C00371,Male,66,1,Yes,No,24
C00372,Male,28,0,No,Yes,47
C00373,Female,62,0,No,No,30
C00374,Female,74,1,Yes,No,27
C00375,Male,72,1,No,No,63
C00376,Female,35,0,No,No,7
C00377,Female,23,0,No,No,53
C00378,Female,30,0,Yes,No,54
C00379,Female,61,0,Yes,Yes,27
C00380,Male,29,0,No,Yes,19
C00381,Female,54,0,No,No,1
C00382,Female,39,0,No,No,67
C00383,Female,61,0,No,Yes,68
C00384,Female,52,0,Yes,Yes,18
C00385,Female,51,0,Yes,No,3
C00386,Female,62,0,Yes,Yes,9
C00387,Female,72,1,No,Yes,5
C00388,Female,38,0,Yes,Yes,60
C00389,Female,48,0,No,No,64
C00390,Male,53,0,No,No,11
C00391,Female,64,0,No,No,54
C00392,Male,45,0,No,No,13
C00393,Female,39,0,No,Yes,27
C00394,Female,66,1,No,No,43
C00395,Female,72,1,No,No,52
C00396,Female,50,0,Yes,No,63
C00397,Male,23,0,Yes,No,4
C00398,Male,34,0,No,No,14
C00399,Female,44,0,No,No,20
C00400,Female,58,0,No,No,23
C00401,Female,56,0,Yes,Yes,71
C00402,Female,64,0,No,Yes,56
C00403,Female,19,0,No,No,23
C00404,Male,44,0,No,No,69
C00405,Male,57,0,Yes,No,36
C00406,Female,74,1,No,Yes,36
C00407,Female,26,0,No,Yes,31
C00408,Female,68,1,No,No,11
C00409,Female,18,0,Yes,No,67
C00410,Female,29,0,No,No,1
C00411,Female,66,1,Yes,No,13
C00412,Female,62,0,Yes,No,17
C00413,Male,73,1,Yes,No,20
C00414,Female,52,0,No,No,10
C00415,Female,53,0,No,Yes,2
C00416,Male,48,0,Yes,No,49
C00417,Female,47,0,Yes,No,69
C00418,Female,47,0,Yes,No,9
C00419,Female,34,0,Yes,No,22
C00420,Male,66,1,No,Yes,36
C00421,Female,38,0,Yes,No,66
C00422,Male,52,0,Yes,No,50
C00423,Female,56,0,No,Yes,55
C00424,Female,48,0,Yes,No,42
C00425,Female,52,0,No,Yes,30
C00426,Female,20,0,No,No,15
C00427,Male,36,0,No,No,62
C00428,Female,43,0,No,Yes,58
C00429,Female,40,0,Yes,No,2
C00430,Male,69,1,No,No,51
C00431,Male,69,1,No,No,6
C00432,Male,58,0,Yes,No,53
C00433,Female,38,0,No,Yes,59
C00434,Female,20,0,No,No,10
C00435,Female,61,0,No,No,31
C00436,Female,68,1,No,Yes,9
C00437,Male,45,0,Yes,No,41
C00438,Female,65,1,No,Yes,66
C00439,Male,71,1,No,Yes,6
C00440,Male,49,0,No,No,29
C00441,Male,29,0,Yes,No,70
C00442,Male,19,0,No,No,22
C00443,Female,61,0,No,No,10
C00444,Female,50,0,Yes,Yes,35
C00445,Female,26,0,No,No,37
C00446,Male,21,0,No,Yes,48
C00447,Male,73,1,No,Yes,23
C00448,Male,36,0,No,Yes,68
C00449,Female,36,0,Yes,Yes,37
C00450,Male,53,0,No,No,21
C00451,Male,38,0,No,No,69
C00452,Female,70,1,No,No,66
C00453,Female,56,0,Yes,No,36
C00454,Female,38,0,Yes,Yes,2
C00455,Male,33,0,No,No,43
C00456,Female,67,1,Yes,No,40
C00457,Male,51,0,No,No,11
C00458,Female,70,1,No,No,46
C00459,Male,37,0,No,Yes,60
C00460,Female,19,0,Yes,No,8
C00461,Female,69,1,No,No,52
C00462,Female,31,0,Yes,Yes,10
C00463,Male,66,1,No,No,54
C00464,Male,58,0,No,No,30
C00465,Female,31,0,No,No,1
C00466,Female,61,0,Yes,No,69
C00467,Male,22,0,Yes,No,12
C00468,Male,40,0,No,No,43
C00469,Male,38,0,No,No,13
C00470,Male,55,0,No,No,67
C00471,Male,48,0,No,Yes,53
C00472,Male,52,0,No,No,58
C00473,Male,45,0,Yes,No,31
C00474,Male,60,0,No,No,34
C00475,Female,27,0,No,No,46
C00476,Male,58,0,No,No,56
C00477,Male,20,0,Yes,No,61
C00478,Male,22,0,No,Yes,2
C00479,Female,59,0,Yes,Yes,48
C00480,Male,27,0,No,No,8
C00481,Male,61,0,No,No,21
C00482,Male,25,0,No,No,59
C00483,Male,26,0,Yes,No,18
C00484,Male,71,1,Yes,No,57
C00485,Male,28,0,Yes,No,33
C00486,Female,70,1,Yes,No,17
C00487,Male,37,0,Yes,No,24
C00488,Male,63,0,No,Yes,38
C00489,Female,71,1,Yes,Yes,55
C00490,Female,24,0,Yes,No,44
C00491,Female,36,0,No,No,67
C00492,Male,50,0,Yes,No,62
C00493,Male,67,1,Yes,No,54
C00494,Male,28,0,No,No,43
C00495,Female,28,0,Yes,Yes,21
C00496,Male,38,0,Yes,No,30
C00497,Female,29,0,No,Yes,9
C00498,Female,33,0,Yes,No,27
C00499,Female,25,0,Yes,Yes,66
C00500,Male,65,1,Yes,No,31
C00501,Female,63,0,Yes,No,9
C00502,Male,26,0,No,No,47
C00503,Female,48,0,Yes,No,69
C00504,Female,54,0,Yes,No,62
C00505,Female,53,0,Yes,No,20
C00506,Male,74,1,No,No,33
C00507,Female,54,0,Yes,Yes,38
C00508,Male,57,0,No,Yes,18
C00509,Male,19,0,Yes,Yes,20
C00510,Male,22,0,No,Yes,17
C00511,Female,53,0,Yes,No,71
C00512,Female,69,1,Yes,No,53
C00513,Male,40,0,No,No,60
C00514,Female,54,0,Yes,No,58
C00515,Female,29,0,No,No,69
C00516,Male,44,0,No,Yes,8
C00517,Female,60,0,No,No,63
C00518,Female,55,0,Yes,No,5
C00519,Male,24,0,No,No,34
C00520,Male,68,1,Yes,Yes,43
C00521,Female,70,1,No,No,26
C00522,Male,45,0,No,No,11
C00523,Female,37,0,No,No,14
C00524,Male,48,0,No,Yes,59
C00525,Male,63,0,No,Yes,23
C00526,Male,43,0,No,No,23
C00527,Female,19,0,Yes,No,66
C00528,Female,22,0,No,Yes,11
C00529,Female,64,0,Yes,No,65
C00530,Male,62,0,Yes,No,66
C00531,Female,62,0,No,No,43
C00532,Female,25,0,Yes,No,12
C00533,Male,27,0,No,No,12
C00534,Female,40,0,Yes,No,21
C00535,Male,31,0,Yes,No,41
C00536,Female,40,0,No,Yes,11
C00537,Female,49,0,Yes,No,33
C00538,Male,33,0,No,Yes,9
C00539,Male,25,0,No,No,39
C00540,Female,40,0,No,No,2
C00541,Male,59,0,Yes,No,51
C00542,Male,53,0,No,No,4
C00543,Male,36,0,Yes,No,14
C00544,Female,35,0,Yes,Yes,13
C00545,Male,51,0,Yes,Yes,60
C00546,Male,27,0,Yes,No,4
C00547,Female,65,1,No,No,31
C00548,Male,67,1,Yes,No,42
C00549,Female,19,0,Yes,No,37
C00550,Female,73,1,No,No,49
C00551,Female,19,0,No,No,58
C00552,Male,44,0,Yes,No,28
C00553,Female,56,0,Yes,No,59
C00554,Female,36,0,Yes,No,23
C00555,Male,29,0,No,No,70
C00556,Male,20,0,No,No,36
C00557,Male,59,0,No,Yes,53
C00558,Male,20,0,No,Yes,63
C00559,Male,45,0,Yes,No,57
C00560,Male,40,0,No,No,61
C00561,Male,73,1,Yes,No,39
C00562,Male,71,1,Yes,No,4
C00563,Male,64,0,Yes,No,36
C00564,Female,59,0,Yes,No,13
C00565,Male,48,0,No,No,64
C00566,Male,37,0,Yes,No,17
C00567,Male,27,0,Yes,No,17
C00568,Male,73,1,Yes,Yes,18
C00569,Male,39,0,No,Yes,46
C00570,Male,42,0,No,No,41
C00571,Female,26,0,No,No,68
C00572,Female,33,0,No,No,30
C00573,Female,54,0,No,No,21
C00574,Female,42,0,Yes,No,4
C00575,Female,51,0,Yes,No,1
C00576,Male,30,0,Yes,No,27
C00577,Female,22,0,Yes,No,66
C00578,Female,68,1,No,Yes,38
C00579,Female,42,0,Yes,No,64
C00580,Female,38,0,Yes,No,8
C00581,Male,34,0,No,No,7
C00582,Female,55,0,Yes,No,60
C00583,Female,50,0,Yes,No,8
C00584,Male,40,0,Yes,Yes,4
C00585,Male,71,1,No,Yes,29
C00586,Female,69,1,Yes,No,66
C00587,Male,29,0,Yes,Yes,49
C00588,Male,54,0,Yes,No,8
C00589,Male,73,1,No,Yes,60
C00590,Female,45,0,Yes,Yes,60
C00591,Male,19,0,Yes,No,57
C00592,Male,25,0,No,Yes,65
C00593,Male,56,0,No,No,18
C00594,Male,69,1,Yes,No,70
C00595,Female,25,0,Yes,No,23
C00596,Female,49,0,Yes,Yes,57
C00597,Female,46,0,No,Yes,42
C00598,Female,34,0,Yes,No,56
C00599,Female,54,0,No,No,45
C00600,Male,68,1,No,No,46
C00601,Female,31,0,No,Yes,44
C00602,Male,21,0,Yes,Yes,56
C00603,Female,38,0,No,Yes,53
C00604,Female,35,0,No,No,10
C00605,Male,59,0,No,Yes,59
C00606,Female,48,0,Yes,Yes,39
C00607,Female,19,0,No,No,23
C00608,Male,37,0,No,No,37
C00609,Female,59,0,No,No,69
C00610,Male,45,0,No,Yes,61
C00611,Male,50,0,No,No,60
C00612,Male,33,0,Yes,Yes,33
C00613,Male,36,0,No,No,56
C00614,Female,25,0,No,No,28
C00615,Female,22,0,No,Yes,49
C00616,Female,20,0,Yes,No,46
C00617,Female,53,0,Yes,No,18
C00618,Female,26,0,No,No,19
C00619,Male,50,0,No,Yes,5
C00620,Male,72,1,Yes,No,10
C00621,Female,57,0,Yes,Yes,31
C00622,Female,50,0,No,No,34
C00623,Male,24,0,No,Yes,12
C00624,Female,45,0,Yes,No,30
C00625,Male,68,1,Yes,No,43
C00626,Male,39,0,Yes,No,17
C00627,Male,65,1,Yes,No,25
C00628,Male,58,0,No,No,27
C00629,Male,33,0,No,No,36
C00630,Female,26,0,No,No,27
C00631,Female,18,0,No,No,53
C00632,Female,33,0,Yes,Yes,24
C00633,Male,36,0,Yes,No,31
C00634,Female,55,0,Yes,Yes,27
C00635,Female,50,0,Yes,No,13
C00636,Male,45,0,No,No,49
C00637,Male,59,0,Yes,Yes,17
C00638,Male,61,0,No,No,22
C00639,Female,58,0,Yes,No,57
C00640,Female,69,1,Yes,No,68
C00641,Female,38,0,Yes,No,48
C00642,Female,64,0,No,Yes,66
C00643,Female,41,0,No,Yes,61
C00644,Male,28,0,No,Yes,35
C00645,Female,26,0,Yes,No,55
C00646,Male,23,0,No,Yes,24
C00647,Female,72,1,No,No,33
C00648,Female,27,0,Yes,No,39
C00649,Female,65,1,Yes,No,69
C00650,Male,62,0,Yes,No,61
C00651,Female,43,0,Yes,No,35
C00652,Female,70,1,No,No,47
C00653,Female,69,1,Yes,No,15
C00654,Female,70,1,No,No,58
C00655,Male,46,0,No,No,40
C00656,Male,34,0,Yes,No,38
C00657,Male,20,0,No,No,55
C00658,Female,65,1,Yes,No,45
C00659,Male,67,1,No,No,6
C00660,Female,48,0,Yes,No,21
C00661,Male,22,0,Yes,Yes,13
C00662,Female,64,0,Yes,No,53
C00663,Male,35,0,No,Yes,3
C00664,Female,49,0,No,No,15
C00665,Male,55,0,No,Yes,43
C00666,Male,26,0,Yes,No,50
C00667,Female,21,0,No,Yes,36
C00668,Male,22,0,Yes,Yes,62
C00669,Male,72,1,No,No,66
C00670,Male,72,1,No,No,10
C00671,Female,42,0,No,Yes,68
C00672,Male,42,0,Yes,Yes,44
C00673,Male,41,0,No,Yes,46
C00674,Female,37,0,No,No,7
C00675,Female,48,0,Yes,No,45
C00676,Male,38,0,No,No,52
C00677,Male,53,0,Yes,No,42
C00678,Male,39,0,No,No,6
C00679,Male,53,0,No,No,38
C00680,Female,71,1,No,No,67
C00681,Male,29,0,Yes,Yes,52
C00682,Female,21,0,Yes,No,10
C00683,Female,48,0,No,No,69
C00684,Male,24,0,Yes,No,69
C00685,Male,31,0,No,No,13
C00686,Male,63,0,Yes,No,57
C00687,Female,41,0,No,No,29
C00688,Female,49,0,Yes,No,43
C00689,Male,62,0,Yes,Yes,32
C00690,Male,25,0,Yes,No,56
C00691,Female,45,0,Yes,No,71
C00692,Male,19,0,Yes,Yes,57
C00693,Male,46,0,Yes,No,67
C00694,Male,30,0,No,Yes,68
C00695,Female,69,1,Yes,Yes,7
C00696,Female,32,0,No,No,18
C00697,Male,29,0,No,No,52
C00698,Male,18,0,No,No,42
C00699,Male,25,0,Yes,No,4
C00700,Female,30,0,Yes,Yes,7
C00701,Male,30,0,Yes,No,37
C00702,Male,60,0,No,Yes,44
C00703,Male,68,1,No,Yes,12
C00704,Female,66,1,Yes,No,13
C00705,Male,72,1,Yes,No,10
C00706,Female,69,1,Yes,Yes,41
C00707,Female,43,0,Yes,Yes,1
C00708,Female,40,0,No,No,41
C00709,Male,55,0,Yes,Yes,34
C00710,Male,36,0,Yes,No,34
C00711,Male,52,0,Yes,No,49
C00712,Male,74,1,Yes,Yes,38
C00713,Female,29,0,Yes,No,52
C00714,Male,61,0,Yes,No,55
C00715,Male,71,1,Yes,No,66
C00716,Female,48,0,Yes,No,57
C00717,Male,38,0,No,No,37
C00718,Male,32,0,No,No,35
C00719,Female,27,0,Yes,No,17
C00720,Female,36,0,No,No,43
C00721,Female,60,0,Yes,Yes,10
C00722,Male,47,0,No,No,67
C00723,Female,30,0,No,Yes,60
C00724,Female,48,0,Yes,No,9
C00725,Male,64,0,Yes,No,56
C00726,Male,18,0,No,No,9
C00727,Female,19,0,Yes,Yes,52
C00728,Male,72,1,Yes,No,7
C00729,Male,60,0,No,No,35
C00730,Female,50,0,No,No,47
C00731,Female,69,1,No,No,52
C00732,Male,51,0,No,No,30
C00733,Female,47,0,No,No,66
C00734,Female,30,0,No,No,55
C00735,Female,64,0,No,Yes,15
C00736,Male,61,0,No,No,48
C00737,Male,34,0,No,No,52
C00738,Female,60,0,No,Yes,24
C00739,Male,59,0,No,No,53
C00740,Female,23,0,No,No,64
C00741,Female,27,0,No,Yes,59
C00742,Male,51,0,Yes,No,55
C00743,Female,53,0,No,No,46
C00744,Female,55,0,Yes,No,20
C00745,Female,39,0,Yes,No,57
C00746,Female,65,1,Yes,No,26
C00747,Female,43,0,No,No,38
C00748,Female,29,0,No,Yes,23
C00749,Female,24,0,Yes,Yes,23
C00750,Female,68,1,Yes,Yes,12
C00751,Male,58,0,Yes,Yes,69
C00752,Male,44,0,Yes,Yes,11
C00753,Male,29,0,Yes,No,7
