CustomerID,PhoneService,InternetService,OnlineBackup,TechSupport,StreamingTV,Contract,PaperlessBilling
C00164,Yes,No,No internet service,No,Yes,Month-to-month,Yes
C00165,Yes,DSL,No internet service,Yes,No,One year,Yes
C00166,Yes,Fiber optic,No,No internet service,No,Two year,No
C00167,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes
C00168,Yes,DSL,No,Yes,No internet service,Month-to-month,Yes
C00169,Yes,No,No,No,Yes,Month-to-month,No
C00170,Yes,Fiber optic,Yes,No internet service,Yes,Month-to-month,No
C00171,Yes,DSL,Yes,No,No,Month-to-month,Yes
C00172,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No
C00173,Yes,DSL,Yes,Yes,No,Month-to-month,No
C00174,Yes,No,Yes,No internet service,Yes,One year,Yes
C00175,Yes,Fiber optic,No,No,No,One year,Yes
C00176,Yes,DSL,No internet service,Yes,No,One year,No
C00177,Yes,DSL,No,No,No internet service,Month-to-month,No
C00178,Yes,DSL,Yes,Yes,Yes,Month-to-month,Yes
C00179,Yes,No,Yes,No,Yes,Month-to-month,Yes
C00180,Yes,DSL,No,No,No,Month-to-month,Yes
C00181,Yes,DSL,No,No,Yes,Month-to-month,No
C00182,Yes,No,No,No internet service,No,Month-to-month,No
C00183,Yes,DSL,Yes,No,No internet service,Two year,Yes
C00184,Yes,DSL,No,No,No internet service,Two year,No
C00185,Yes,Fiber optic,No,No,Yes,One year,Yes
C00186,No,DSL,Yes,Yes,No internet service,One year,Yes
C00187,Yes,No,No internet service,No,No,One year,Yes
C00188,Yes,Fiber optic,No,No internet service,No internet service,One year,No
C00189,Yes,DSL,Yes,No,No internet service,One year,Yes
C00190,Yes,Fiber optic,No,No,Yes,Month-to-month,No
C00191,Yes,DSL,No,No,No internet service,Two year,No
C00192,Yes,Fiber optic,No internet service,No internet service,Yes,One year,No
C00193,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes
C00194,Yes,Fiber optic,No internet service,Yes,No,Month-to-month,Yes
C00195,Yes,Fiber optic,No,No,No,One year,Yes
C00196,Yes,No,No,Yes,Yes,Two year,Yes
C00197,Yes,DSL,Yes,No internet service,Yes,Month-to-month,No
C00198,Yes,No,Yes,No,No internet service,Month-to-month,Yes
C00199,No,DSL,No internet service,Yes,No,Month-to-month,Yes
C00200,Yes,No,No,No,No,Month-to-month,Yes
C00201,Yes,Fiber optic,No internet service,Yes,No,Month-to-month,Yes
C00202,Yes,DSL,No,No,No internet service,Month-to-month,Yes
C00203,No,Fiber optic,No,No,Yes,Month-to-month,Yes
C00204,No,No,No internet service,No internet service,Yes,Month-to-month,Yes
C00205,Yes,No,No,Yes,No internet service,One year,Yes
C00206,Yes,Fiber optic,No,No,No,Month-to-month,No
C00207,Yes,Fiber optic,No internet service,No internet service,Yes,Month-to-month,Yes
C00208,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No
C00209,Yes,DSL,No,Yes,No internet service,Two year,No
C00210,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Yes
C00211,Yes,DSL,No internet service,No,No internet service,One year,Yes
C00212,Yes,No,No internet service,No,No,Month-to-month,Yes
C00213,Yes,Fiber optic,No internet service,No,No,Month-to-month,Yes
C00214,Yes,Fiber optic,No,No,No internet service,Two year,No
C00215,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes
C00216,Yes,DSL,Yes,No,No,Month-to-month,No
C00217,No,DSL,No,No,No,Month-to-month,No
C00218,Yes,DSL,No internet service,Yes,No internet service,Month-to-month,Yes
C00219,Yes,DSL,Yes,No,No,One year,No
C00220,Yes,DSL,Yes,No internet service,Yes,One year,Yes
C00221,Yes,Fiber optic,No,No,No,Two year,Yes
C00222,Yes,Fiber optic,No,Yes,No internet service,Month-to-month,No
C00223,Yes,Fiber optic,No,Yes,No internet service,Month-to-month,Yes
C00224,Yes,No,No,No,No,Two year,No
C00225,Yes,No,No internet service,No,No,Month-to-month,No
C00226,Yes,DSL,Yes,No,Yes,Two year,Yes
C00227,Yes,Fiber optic,No internet service,Yes,Yes,One year,No
C00228,Yes,No,No,No,No internet service,Month-to-month,No
C00229,Yes,DSL,No,Yes,No,Two year,No
C00230,Yes,Fiber optic,Yes,Yes,No,Month-to-month,No
C00231,Yes,No,No,No,No,One year,Yes
C00232,Yes,Fiber optic,No internet service,No internet service,Yes,Month-to-month,No
C00233,Yes,No,No,No internet service,No,One year,Yes
C00234,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes
C00235,No,DSL,Yes,Yes,No,Month-to-month,Yes
C00236,Yes,Fiber optic,No internet service,Yes,No,Two year,No
C00237,Yes,No,No,No internet service,Yes,Month-to-month,Yes
C00238,Yes,DSL,Yes,Yes,Yes,Month-to-month,Yes
C00239,Yes,DSL,No internet service,No internet service,Yes,Month-to-month,Yes
C00240,Yes,DSL,Yes,No,Yes,One year,Yes
C00241,Yes,Fiber optic,No internet service,No internet service,No,Month-to-month,No
C00242,Yes,Fiber optic,Yes,Yes,No internet service,One year,Yes
C00243,Yes,No,Yes,No,Yes,One year,Yes
C00244,Yes,DSL,Yes,Yes,No internet service,One year,No
C00245,Yes,Fiber optic,No internet service,No,Yes,Two year,No
C00246,Yes,DSL,No,No,No,Two year,No
C00247,No,No,Yes,No internet service,No,Month-to-month,No
C00248,Yes,Fiber optic,No internet service,No,Yes,One year,Yes
C00249,Yes,Fiber optic,No internet service,No internet service,Yes,Month-to-month,No
C00250,No,DSL,No,No,Yes,Month-to-month,No
C00251,No,DSL,No,No,Yes,Month-to-month,Yes
C00252,Yes,DSL,No,Yes,No internet service,Month-to-month,Yes
C00253,Yes,No,Yes,Yes,Yes,Month-to-month,No
C00254,Yes,DSL,No internet service,Yes,Yes,Month-to-month,Yes
C00255,Yes,No,No,Yes,No internet service,One year,No
C00256,Yes,DSL,No internet service,Yes,Yes,Two year,No
C00257,Yes,Fiber optic,No internet service,Yes,Yes,Month-to-month,Yes
C00258,Yes,DSL,No internet service,Yes,Yes,Month-to-month,Yes
C00259,Yes,DSL,No internet service,No,No internet service,Month-to-month,Yes
C00260,Yes,Fiber optic,No internet service,No,No internet service,Month-to-month,Yes
C00261,Yes,Fiber optic,No,No internet service,No internet service,Two year,Yes
C00262,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,Yes
C00263,Yes,Fiber optic,No internet service,Yes,Yes,Month-to-month,Yes
C00264,Yes,DSL,Yes,No internet service,No internet service,Month-to-month,Yes
C00265,Yes,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes
C00266,Yes,Fiber optic,No,No,Yes,Month-to-month,No
C00267,Yes,DSL,Yes,Yes,No,Two year,Yes
C00268,Yes,Fiber optic,No,No internet service,No,One year,No
C00269,Yes,DSL,Yes,No internet service,Yes,Month-to-month,No
C00270,Yes,DSL,Yes,No internet service,No,One year,Yes
C00271,Yes,DSL,No,No,No internet service,Two year,No
C00272,Yes,Fiber optic,Yes,Yes,No internet service,Month-to-month,Yes
C00273,Yes,DSL,No,No,Yes,One year,Yes
C00274,Yes,No,No,No,Yes,One year,Yes
C00275,Yes,Fiber optic,Yes,Yes,Yes,One year,Yes
C00276,Yes,DSL,Yes,Yes,Yes,Month-to-month,Yes
C00277,Yes,Fiber optic,Yes,No internet service,Yes,One year,Yes
C00278,Yes,DSL,No,Yes,Yes,One year,No
C00279,Yes,DSL,No,Yes,No internet service,One year,No
C00280,Yes,No,No,No,No internet service,Month-to-month,Yes
C00281,Yes,Fiber optic,Yes,No internet service,No internet service,Month-to-month,Yes
C00282,Yes,DSL,No,No internet service,No,One year,Yes
C00283,Yes,No,No internet service,Yes,No,One year,Yes
C00284,Yes,No,No internet service,No,No internet service,Two year,Yes
C00285,Yes,Fiber optic,No,No internet service,No,Month-to-month,Yes
C00286,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes
C00287,No,No,Yes,Yes,Yes,One year,No
C00288,Yes,Fiber optic,No,No,No,One year,Yes
C00289,Yes,Fiber optic,No,No,No,Month-to-month,No
C00290,Yes,No,No,No,Yes,One year,Yes
C00291,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes
C00292,No,DSL,No internet service,Yes,No internet service,Month-to-month,Yes
C00293,No,DSL,No,No internet service,Yes,Month-to-month,No
C00294,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,No
C00295,Yes,DSL,No internet service,Yes,No internet service,One year,Yes
C00296,Yes,DSL,No,No,Yes,Month-to-month,Yes
C00297,Yes,Fiber optic,No,No,Yes,Two year,No
C00298,No,No,No internet service,No,No,Month-to-month,Yes
C00299,Yes,DSL,Yes,No internet service,No internet service,One year,Yes
C00300,Yes,DSL,Yes,No internet service,Yes,Month-to-month,Yes
C00301,Yes,No,Yes,No,Yes,Month-to-month,Yes
C00302,Yes,Fiber optic,No,No,No,One year,Yes
C00303,Yes,Fiber optic,No,No,No,Two year,Yes
C00304,Yes,Fiber optic,Yes,No,No internet service,Two year,No
C00305,Yes,Fiber optic,No,No,No internet service,Month-to-month,No
C00306,Yes,DSL,No,No,No internet service,Month-to-month,Yes
C00307,Yes,Fiber optic,No internet service,No internet service,Yes,Month-to-month,Yes
C00308,Yes,Fiber optic,Yes,No,No internet service,Month-to-month,Yes
C00309,Yes,DSL,No internet service,Yes,No,Month-to-month,No
C00310,Yes,DSL,No internet service,No internet service,No,Two year,No
C00311,Yes,Fiber optic,No,No internet service,No,One year,No
C00312,No,Fiber optic,No,Yes,No,Month-to-month,Yes
C00313,Yes,Fiber optic,Yes,No internet service,No,Two year,No
C00314,Yes,Fiber optic,No,No,No,One year,No
C00315,Yes,Fiber optic,No internet service,Yes,Yes,Month-to-month,Yes
C00316,Yes,DSL,Yes,No,No,Two year,No
C00317,Yes,No,No internet service,Yes,Yes,One year,Yes
C00318,Yes,No,Yes,No,Yes,Month-to-month,No
C00319,Yes,DSL,No internet service,No internet service,No,Month-to-month,Yes
C00320,Yes,Fiber optic,No,No,No internet service,Month-to-month,Yes
C00321,Yes,DSL,No,No,Yes,Month-to-month,Yes
C00322,Yes,No,No internet service,Yes,No internet service,Two year,Yes
C00323,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes
C00324,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes
C00325,Yes,No,No,No,No,Two year,Yes
C00326,Yes,Fiber optic,Yes,No internet service,Yes,Two year,Yes
C00327,Yes,DSL,No internet service,No,No internet service,Two year,Yes
C00328,Yes,Fiber optic,Yes,No,No,Two year,No
C00329,Yes,No,No,No,No,Two year,Yes
C00330,Yes,DSL,No,No,No internet service,Two year,Yes
C00331,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes
C00332,Yes,Fiber optic,No,No,No,Month-to-month,Yes
C00333,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes
C00334,Yes,No,No,No,No,Month-to-month,No
C00335,Yes,Fiber optic,Yes,Yes,No internet service,Month-to-month,No
C00336,Yes,Fiber optic,No internet service,No,No,Month-to-month,Yes
C00337,Yes,No,Yes,No,Yes,Month-to-month,Yes
C00338,Yes,DSL,No internet service,No internet service,No,One year,Yes
C00339,Yes,DSL,No,No,No,Month-to-month,No
C00340,Yes,No,No internet service,No internet service,Yes,Month-to-month,No
C00341,Yes,Fiber optic,Yes,No,No,One year,Yes
C00342,Yes,Fiber optic,No internet service,No internet service,No,Month-to-month,No
C00343,Yes,DSL,No,No internet service,No internet service,Month-to-month,No
C00344,Yes,DSL,No internet service,No,No,Month-to-month,Yes
C00345,Yes,DSL,Yes,No internet service,No,One year,Yes
C00346,Yes,Fiber optic,No internet service,Yes,No internet service,Two year,Yes
C00347,Yes,Fiber optic,No,No,No internet service,Month-to-month,Yes
C00348,Yes,DSL,No internet service,No internet service,Yes,Two year,No
C00349,Yes,Fiber optic,No,Yes,Yes,Two year,Yes
C00350,Yes,No,Yes,Yes,No,Two year,Yes
C00351,Yes,No,No internet service,No,No internet service,Two year,No
C00352,Yes,No,Yes,No,Yes,One year,Yes
C00353,Yes,Fiber optic,No,No,No internet service,Month-to-month,Yes
C00354,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No
C00355,Yes,Fiber optic,No internet service,Yes,No,Month-to-month,No
C00356,Yes,DSL,No,No internet service,No internet service,Month-to-month,No
C00357,Yes,No,Yes,Yes,Yes,Two year,Yes
C00358,Yes,Fiber optic,No internet service,No internet service,No internet service,Month-to-month,No
C00359,Yes,Fiber optic,Yes,No,No internet service,Month-to-month,Yes
C00360,Yes,DSL,Yes,Yes,Yes,Two year,Yes
C00361,Yes,DSL,No internet service,No,Yes,Month-to-month,Yes
C00362,No,No,Yes,No,No internet service,Month-to-month,Yes
C00363,Yes,DSL,Yes,No internet service,No internet service,Month-to-month,Yes
C00364,Yes,DSL,No,No,No,Month-to-month,Yes
C00365,No,Fiber optic,Yes,No internet service,Yes,Month-to-month,Yes
C00366,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,Yes
C00367,Yes,DSL,No internet service,Yes,Yes,One year,No
C00368,No,DSL,No internet service,No,No,Month-to-month,No
C00369,Yes,No,No internet service,No,No,One year,Yes
C00370,Yes,No,No internet service,Yes,No,Month-to-month,No
C00371,Yes,Fiber optic,Yes,Yes,No internet service,Month-to-month,Yes
C00372,Yes,No,No,No,Yes,Month-to-month,Yes
C00373,Yes,DSL,No internet service,No,No,Two year,No
C00374,Yes,Fiber optic,No,No internet service,Yes,One year,Yes
C00375,Yes,Fiber optic,No internet service,Yes,No,Month-to-month,No
C00376,Yes,No,No internet service,No,No,One year,No
C00377,Yes,Fiber optic,Yes,No,No internet service,Month-to-month,No
C00378,Yes,DSL,No,No internet service,Yes,Two year,No
C00379,Yes,DSL,Yes,Yes,No internet service,Two year,No
C00380,Yes,No,No internet service,Yes,No,Month-to-month,Yes
C00381,Yes,DSL,No internet service,Yes,Yes,Month-to-month,Yes
C00382,Yes,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes
C00383,Yes,Fiber optic,Yes,Yes,Yes,One year,No
C00384,Yes,DSL,No,No internet service,No,Month-to-month,Yes
C00385,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes
C00386,Yes,Fiber optic,No,No internet service,No,Two year,Yes
C00387,Yes,No,No internet service,No,No,Month-to-month,Yes
C00388,Yes,DSL,No,No,No internet service,Two year,No
C00389,Yes,DSL,No,No internet service,No,Month-to-month,Yes
C00390,Yes,DSL,No internet service,Yes,Yes,Two year,Yes
C00391,Yes,DSL,No internet service,No,No internet service,Two year,No
C00392,Yes,Fiber optic,Yes,No internet service,Yes,Month-to-month,Yes
C00393,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Yes
C00394,No,DSL,Yes,No internet service,No internet service,Month-to-month,No
C00395,Yes,No,Yes,Yes,Yes,One year,Yes
C00396,Yes,DSL,Yes,Yes,Yes,Month-to-month,No
C00397,Yes,Fiber optic,No,Yes,No internet service,Two year,Yes
C00398,Yes,No,No,No,Yes,One year,No
C00399,Yes,Fiber optic,Yes,Yes,No,Two year,No
C00400,Yes,DSL,No,No,Yes,Month-to-month,No
C00401,Yes,No,No,No,Yes,Month-to-month,No
C00402,No,Fiber optic,Yes,Yes,No internet service,Month-to-month,Yes
C00403,Yes,DSL,Yes,Yes,No internet service,Month-to-month,Yes
C00404,Yes,DSL,Yes,Yes,No,Month-to-month,Yes
C00405,Yes,No,No,Yes,Yes,Month-to-month,No
C00406,Yes,DSL,No,No,Yes,One year,No
C00407,No,No,Yes,No,No,Month-to-month,Yes
C00408,Yes,DSL,Yes,No internet service,No internet service,Month-to-month,No
C00409,Yes,DSL,Yes,No,No,Month-to-month,Yes
C00410,Yes,No,Yes,No internet service,Yes,One year,Yes
C00411,Yes,No,No,No,Yes,One year,No
C00412,Yes,DSL,No,No internet service,No,One year,No
C00413,Yes,DSL,No,Yes,No internet service,Month-to-month,Yes
C00414,Yes,Fiber optic,No,Yes,No,One year,No
C00415,Yes,Fiber optic,Yes,No,No,One year,Yes
C00416,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes
C00417,No,DSL,No,No internet service,Yes,Month-to-month,No
C00418,Yes,No,No,No,No,Two year,Yes
C00419,Yes,DSL,No internet service,No internet service,Yes,Month-to-month,Yes
C00420,Yes,DSL,No,Yes,Yes,Month-to-month,Yes
C00421,Yes,DSL,No,No,Yes,Month-to-month,Yes
C00422,Yes,DSL,No internet service,No,No,Two year,Yes
C00423,Yes,Fiber optic,No,Yes,No internet service,Month-to-month,No
C00424,Yes,Fiber optic,No internet service,No internet service,Yes,Two year,No
C00425,Yes,Fiber optic,Yes,No,No,Two year,Yes
C00426,No,Fiber optic,Yes,Yes,No internet service,One year,No
C00427,No,DSL,No,No,No internet service,Month-to-month,No
C00428,Yes,No,No,No,No,Month-to-month,Yes
C00429,Yes,Fiber optic,No,No,No,Two year,Yes
C00430,Yes,DSL,No,No,Yes,Two year,Yes
C00431,Yes,DSL,No,No,No,Two year,Yes
C00432,Yes,Fiber optic,No,Yes,No,Two year,Yes
C00433,Yes,No,Yes,No,No,One year,No
C00434,No,Fiber optic,No,Yes,Yes,Month-to-month,Yes
C00435,Yes,No,No,No,Yes,Month-to-month,No
C00436,Yes,DSL,Yes,Yes,Yes,Month-to-month,Yes
C00437,Yes,No,Yes,No,Yes,Month-to-month,Yes
C00438,Yes,DSL,No,No internet service,No internet service,Month-to-month,No
C00439,Yes,DSL,No internet service,No internet service,Yes,Month-to-month,No
C00440,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes
C00441,Yes,DSL,Yes,No,No,Month-to-month,No
C00442,Yes,Fiber optic,Yes,No internet service,Yes,One year,No
C00443,Yes,DSL,Yes,No,No,One year,No
