CustomerID,MonthlyCharges,TotalCharges,PaymentMethod,NumComplaints,Churn
C00069,44.07,282.34,Mailed check,2,1
C00070,71.31,2416.23,Credit card,1,0
C00071,46.92,2672.77,Bank transfer,0,0
C00072,43.69,629.48,Bank transfer,2,1
C00073,70.95,2345.81,Credit card,6,1
C00074,93.81,956.17,Credit card,3,0
C00075,43.85,2165.22,Bank transfer,1,0
C00076,67.69,2302.25,Electronic check,0,0
C00077,22.2,534.63,Bank transfer,0,0
C00078,78.39,1331.31,Mailed check,2,0
C00079,89.39,3666.94,Electronic check,3,0
C00080,33.08,1576.81,Mailed check,2,0
C00081,31.64,2126.84,Electronic check,0,0
C00082,39.91,1280.9,Electronic check,3,0
C00083,42.56,498.63,Bank transfer,6,1
C00084,43.62,2625.12,Electronic check,2,0
C00085,97.01,4389.99,Mailed check,3,0
C00086,105.3,5265.37,Electronic check,1,0
C00087,71.65,502.91,Electronic check,0,0
C00088,80.57,1856.9,Electronic check,0,0
C00089,68.56,3732.83,Bank transfer,4,1
C00090,73.98,4431.49,Bank transfer,2,0
C00091,48.5,1549.89,Electronic check,3,0
C00092,27.47,1593.89,Mailed check,2,0
C00093,61.6,3677.94,Electronic check,2,0
C00094,67.04,1876.49,Bank transfer,1,0
C00095,89.49,5716.08,Bank transfer,2,0
C00096,49.42,1041.14,Mailed check,7,1
C00097,60.14,1086.13,Electronic check,3,0
C00098,81.56,3995.42,Electronic check,3,0
C00099,55.27,2560.04,Mailed check,1,1
C00100,35.41,329.92,Bank transfer,1,1
C00101,48.99,2945.72,Electronic check,1,0
C00102,102.46,1557.84,Bank transfer,5,1
C00103,69.69,4036.38,Credit card,3,0
C00104,68.29,84.54,Credit card,3,1
C00105,50.49,2873.5,Electronic check,3,0
C00106,35.86,1986.14,Mailed check,0,0
C00107,78.5,4358.11,Credit card,0,0
C00108,60.36,2886.19,Mailed check,3,0
C00109,83.18,2821.95,Bank transfer,2,0
C00110,53.41,2767.94,Mailed check,5,1
C00111,26.12,523.26,Electronic check,3,0
C00112,44.93,2504.74,Electronic check,2,0
C00113,18.07,733.25,Mailed check,1,0
C00114,73.0,2401.34,Mailed check,0,0
C00115,36.81,1345.74,Mailed check,2,0
C00116,90.74,3751.25,Credit card,0,0
C00117,30.29,94.11,Credit card,3,0
C00118,96.65,930.88,Electronic check,0,0
C00119,44.97,807.45,Credit card,3,0
C00120,27.77,246.67,Electronic check,0,0
C00121,38.13,1252.97,Bank transfer,5,1
C00122,47.33,2280.57,Electronic check,1,0
C00123,48.74,2282.85,Electronic check,2,0
C00124,29.01,1014.34,Mailed check,4,1
C00125,39.91,2431.92,Electronic check,3,0
C00126,72.4,2965.79,Credit card,3,0
C00127,27.43,154.56,Electronic check,2,0
C00128,39.36,2188.14,Credit card,1,1
C00129,37.54,1528.2,Bank transfer,4,1
C00130,104.15,4803.78,Mailed check,4,1
C00131,68.13,2801.52,Electronic check,2,0
C00132,82.2,3289.29,Bank transfer,2,0
C00133,47.73,352.39,Bank transfer,1,1
C00134,83.93,3388.08,Electronic check,3,0
C00135,83.74,4748.78,Electronic check,5,1
C00136,90.47,1987.14,Credit card,2,0
C00137,59.75,2564.31,Bank transfer,2,0
C00138,95.36,288.21,Bank transfer,0,0
C00139,47.72,1181.51,Electronic check,2,1
C00140,18.0,555.44,Electronic check,7,1
C00141,18.0,1257.83,Mailed check,0,0
C00142,26.24,440.25,Electronic check,7,1
C00143,18.0,355.95,Bank transfer,3,0
C00144,24.75,750.85,Credit card,3,0
C00145,94.04,6707.74,Mailed check,0,0
C00146,45.91,2803.84,Credit card,3,0
C00147,93.24,299.54,Mailed check,1,0
C00148,44.41,776.59,Electronic check,3,1
C00149,45.07,2683.75,Electronic check,3,0
C00150,59.28,338.05,Mailed check,5,1
C00151,59.89,3650.99,Credit card,2,0
C00152,64.16,1301.47,Credit card,7,1
C00153,82.37,5440.95,Electronic check,4,1
C00154,53.75,1138.77,Mailed check,3,0
C00155,18.0,566.23,Electronic check,3,0
C00156,52.23,2478.53,Electronic check,2,0
C00157,39.91,349.02,Bank transfer,0,0
C00158,49.74,1997.39,Electronic check,3,1
C00159,43.05,1524.38,Bank transfer,2,0
C00160,33.2,1843.37,Credit card,0,0
C00161,55.06,3897.91,Electronic check,3,1
C00162,18.0,875.84,Electronic check,3,0
C00163,65.84,1983.56,Mailed check,1,0
C00164,27.56,827.3,Electronic check,2,0
C00165,54.74,1662.06,Bank transfer,0,0
C00166,70.27,4075.32,Bank transfer,2,1
C00167,67.11,1603.86,Mailed check,3,1
C00168,66.32,799.66,Electronic check,2,0
C00169,25.92,594.18,Mailed check,0,0
C00170,98.29,171.28,Bank transfer,1,0
C00171,52.78,436.23,Credit card,1,1
C00172,66.56,434.68,Electronic check,6,1
C00173,62.74,3454.5,Credit card,2,1
C00174,27.6,1428.57,Electronic check,1,0
C00175,109.27,5501.46,Electronic check,1,0
C00176,43.63,1416.31,Bank transfer,3,0
C00177,73.66,3776.57,Mailed check,4,1
C00178,64.53,767.38,Electronic check,2,0
C00179,23.81,1515.04,Mailed check,0,0
C00180,72.06,2624.59,Credit card,3,0
C00181,71.41,4774.45,Bank transfer,3,0
C00182,28.85,299.37,Bank transfer,3,1
C00183,44.72,1600.61,Bank transfer,1,0
C00184,60.65,3012.48,Mailed check,3,0
C00185,70.7,2514.41,Electronic check,3,0
C00186,87.3,2778.13,Bank transfer,3,0
C00187,27.71,300.29,Credit card,3,0
C00188,72.17,2003.46,Bank transfer,7,1
C00189,50.11,834.1,Electronic check,0,0
C00190,77.01,1699.3,Bank transfer,4,1
C00191,44.9,2174.17,Mailed check,0,0
C00192,87.75,3960.61,Bank transfer,1,0
C00193,90.88,3955.58,Credit card,1,0
C00194,48.11,1232.29,Credit card,2,0
C00195,82.74,5705.1,Electronic check,1,0
C00196,27.7,185.84,Electronic check,2,0
C00197,52.26,1307.62,Credit card,2,0
C00198,18.98,143.88,Electronic check,2,0
C00199,57.93,1486.29,Electronic check,1,1
C00200,23.87,1679.56,Electronic check,1,0
C00201,101.59,2690.86,Bank transfer,6,1
C00202,27.07,1771.45,Bank transfer,1,0
C00203,65.75,2359.99,Electronic check,2,1
C00204,22.38,1116.62,Bank transfer,7,1
C00205,22.52,741.0,Bank transfer,2,0
C00206,97.58,1838.0,Bank transfer,6,1
C00207,72.23,3970.26,Electronic check,0,0
C00208,103.02,7139.05,Electronic check,3,0
C00209,52.66,1037.0,Electronic check,2,0
C00210,41.87,2341.99,Mailed check,1,0
C00211,38.77,704.0,Electronic check,1,0
C00212,23.01,1168.29,Bank transfer,3,0
C00213,77.65,4419.7,Electronic check,2,0
C00214,102.81,3318.54,Mailed check,3,1
C00215,58.48,3075.3,Electronic check,5,1
C00216,58.17,1125.61,Electronic check,3,0
C00217,51.13,292.46,Electronic check,0,0
C00218,56.89,411.19,Electronic check,0,0
C00219,85.3,2710.55,Mailed check,0,0
C00220,64.56,4191.12,Mailed check,3,0
C00221,71.11,725.69,Electronic check,2,0
C00222,63.1,2051.28,Credit card,2,0
C00223,85.8,4287.51,Bank transfer,1,0
C00224,28.73,435.34,Credit card,0,0
C00225,28.99,1519.95,Mailed check,0,0
C00226,45.15,984.57,Bank transfer,2,0
C00227,74.97,4378.8,Electronic check,1,0
C00228,30.57,1273.58,Electronic check,3,0
C00229,57.91,2274.24,Credit card,3,0
C00230,82.3,1091.91,Mailed check,2,1
C00231,23.89,736.89,Bank transfer,3,0
C00232,84.61,5191.63,Mailed check,1,0
C00233,18.0,13.83,Credit card,0,0
C00234,18.0,962.85,Mailed check,3,0
C00235,48.72,1726.78,Credit card,0,0
C00236,70.24,3643.36,Electronic check,2,1
C00237,29.04,1391.75,Electronic check,0,0
C00238,53.84,1687.19,Credit card,2,0
C00239,44.25,976.44,Mailed check,2,0
C00240,61.12,2729.95,Electronic check,3,0
C00241,78.76,811.07,Electronic check,0,0
C00242,85.93,3615.66,Mailed check,2,0
C00243,32.16,193.48,Bank transfer,2,0
C00244,56.59,2657.1,Electronic check,0,0
C00245,87.25,3932.46,Mailed check,0,0
C00246,62.0,363.62,Electronic check,0,0
C00247,34.89,1850.99,Mailed check,3,1
C00248,103.52,3077.48,Credit card,1,0
C00249,101.61,5676.63,Mailed check,3,0
C00250,38.44,122.13,Mailed check,5,1
C00251,47.45,639.66,Credit card,2,0
C00252,50.36,1784.27,Bank transfer,3,0
C00253,24.91,336.67,Bank transfer,4,1
C00254,60.01,1397.75,Electronic check,6,1
C00255,26.71,1254.43,Mailed check,1,0
C00256,54.91,633.69,Credit card,3,0
C00257,88.84,4373.1,Electronic check,2,0
C00258,76.29,604.42,Electronic check,6,1
C00259,59.31,763.9,Electronic check,2,0
C00260,80.71,3381.99,Bank transfer,7,1
C00261,43.39,2466.9,Mailed check,0,0
C00262,56.96,740.44,Credit card,6,1
C00263,78.59,1721.15,Mailed check,7,1
C00264,48.95,3229.81,Bank transfer,5,1
C00265,58.67,4142.31,Bank transfer,1,0
C00266,81.44,3428.79,Bank transfer,2,1
C00267,48.1,1551.0,Credit card,3,0
C00268,79.03,2024.79,Electronic check,3,0
C00269,45.83,2025.9,Electronic check,3,0
C00270,65.49,2747.16,Bank transfer,3,0
C00271,51.48,1112.78,Mailed check,0,0
C00272,70.18,167.98,Mailed check,2,0
C00273,63.97,688.91,Electronic check,3,0
C00274,18.0,1276.36,Electronic check,2,0
C00275,85.54,2572.58,Credit card,3,0
C00276,69.46,2402.94,Mailed check,7,1
C00277,74.53,2519.38,Bank transfer,3,0
C00278,47.91,2670.57,Electronic check,2,0
C00279,65.93,359.19,Mailed check,1,0
C00280,24.98,153.28,Electronic check,2,0
C00281,66.33,1328.45,Mailed check,0,0
C00282,50.65,1771.54,Electronic check,3,0
C00283,34.57,1698.76,Credit card,0,0
C00284,28.37,988.7,Electronic check,0,0
C00285,89.21,2846.19,Credit card,7,1
C00286,76.6,5155.53,Electronic check,2,0
C00287,22.18,269.33,Credit card,7,1
C00288,91.87,3794.86,Credit card,0,0
C00289,72.45,2817.08,Bank transfer,3,0
C00290,18.0,615.46,Bank transfer,3,0
C00291,96.25,5618.1,Mailed check,1,0
C00292,68.77,1296.58,Credit card,4,1
C00293,75.44,5149.1,Electronic check,1,0
C00294,79.58,1878.95,Electronic check,1,0
C00295,34.51,1360.5,Bank transfer,0,0
C00296,40.05,1468.52,Bank transfer,1,0
C00297,92.87,5682.62,Electronic check,2,0
C00298,27.28,850.25,Mailed check,2,1
C00299,43.27,928.98,Bank transfer,2,0
C00300,74.23,146.96,Mailed check,3,1
C00301,33.95,890.69,Electronic check,1,0
C00302,82.27,4856.33,Electronic check,1,0
C00303,100.58,98.2,Mailed check,3,0
C00304,66.42,4237.16,Mailed check,2,0
C00305,68.14,2637.93,Bank transfer,4,1
C00306,70.37,717.3,Credit card,1,0
C00307,92.41,2009.84,Electronic check,0,0
C00308,107.98,4315.84,Electronic check,2,0
C00309,64.19,1455.69,Bank transfer,0,0
C00310,59.22,466.49,Mailed check,3,0
C00311,108.01,5146.4,Electronic check,1,0
C00312,52.72,2553.85,Electronic check,1,0
C00313,92.0,841.94,Electronic check,3,0
C00314,41.9,836.62,Bank transfer,3,0
C00315,102.59,1849.94,Bank transfer,3,1
C00316,70.16,3320.51,Bank transfer,3,0
C00317,31.62,1633.21,Electronic check,3,0
C00318,24.01,1274.31,Electronic check,0,0
C00319,66.9,4467.82,Credit card,1,1
C00320,77.23,4246.41,Electronic check,0,0
C00321,61.03,1375.44,Bank transfer,1,0
C00322,18.0,171.15,Electronic check,2,1
C00323,62.29,2734.59,Bank transfer,1,0
C00324,72.94,4820.3,Electronic check,2,1
C00325,33.87,2354.95,Mailed check,2,0
C00326,95.65,1621.5,Electronic check,0,0
C00327,57.53,957.56,Mailed check,3,0
C00328,71.73,197.87,Credit card,0,0
C00329,23.25,222.75,Electronic check,1,0
C00330,63.92,2551.15,Electronic check,1,0
C00331,59.34,2299.43,Electronic check,7,1
C00332,80.09,2206.11,Electronic check,7,1
C00333,70.02,1587.38,Bank transfer,3,1
C00334,22.48,1311.54,Electronic check,0,0
C00335,54.36,1808.34,Credit card,3,1
C00336,92.76,5359.35,Electronic check,3,0
C00337,23.89,1644.89,Electronic check,0,0
C00338,44.52,1037.15,Credit card,1,0
C00339,42.33,646.68,Bank transfer,1,0
C00340,33.88,2303.55,Mailed check,1,0
C00341,77.43,3558.56,Electronic check,3,1
C00342,79.99,1697.68,Bank transfer,0,0
C00343,54.6,2479.84,Bank transfer,3,0
C00344,51.86,1918.61,Credit card,3,1
C00345,60.3,3928.37,Credit card,3,0
C00346,53.82,1010.73,Bank transfer,0,0
C00347,81.08,5777.99,Electronic check,3,0
C00348,46.57,3134.32,Credit card,3,0
C00349,77.75,1002.69,Electronic check,2,0
C00350,18.0,203.92,Bank transfer,2,1
C00351,35.02,1365.29,Electronic check,3,0
C00352,28.38,101.82,Mailed check,1,0
C00353,77.98,1709.77,Electronic check,2,1
C00354,71.86,2201.17,Credit card,3,0
C00355,93.48,6468.77,Electronic check,2,0
C00356,41.71,2949.47,Bank transfer,0,0
C00357,20.03,219.22,Electronic check,3,0
C00358,42.03,2686.83,Credit card,1,1
C00359,75.23,572.46,Credit card,2,1
C00360,37.81,2076.29,Credit card,2,0
C00361,54.81,3348.37,Bank transfer,3,0
C00362,30.08,1911.09,Mailed check,3,1
C00363,48.42,776.15,Bank transfer,1,0
C00364,55.13,3526.1,Electronic check,2,0
C00365,88.98,831.48,Electronic check,6,1
C00366,57.67,2184.34,Mailed check,1,0
C00367,50.02,1706.31,Mailed check,3,0
C00368,59.38,1380.62,Credit card,5,1
C00369,18.0,74.25,Bank transfer,3,0
C00370,18.0,999.58,Credit card,5,1
C00371,82.04,1952.0,Electronic check,1,1
C00372,18.0,842.96,Bank transfer,3,0
C00373,65.04,1950.17,Mailed check,2,0
C00374,98.11,2633.6,Electronic check,1,0
C00375,61.11,3849.84,Electronic check,6,1
C00376,38.07,235.33,Credit card,3,1
C00377,65.1,3410.09,Electronic check,3,1
C00378,49.09,2649.09,Electronic check,2,0
C00379,59.4,1598.66,Bank transfer,3,0
C00380,27.31,554.04,Electronic check,7,1
C00381,54.38,44.36,Bank transfer,2,0
C00382,84.25,5650.19,Mailed check,0,0
C00383,85.22,5786.15,Bank transfer,1,0
C00384,54.32,940.82,Mailed check,1,1
C00385,50.46,150.07,Bank transfer,3,0
C00386,75.29,681.85,Bank transfer,0,0
C00387,34.78,162.73,Bank transfer,6,1
C00388,71.78,4302.38,Credit card,3,0
C00389,45.78,2948.72,Bank transfer,1,0
C00390,63.81,696.28,Electronic check,7,1
C00391,65.17,3544.3,Bank transfer,3,0
C00392,74.3,970.16,Electronic check,3,0
C00393,59.97,1640.17,Mailed check,3,0
C00394,71.04,3086.23,Electronic check,1,0
C00395,25.74,1320.47,Bank transfer,0,0
C00396,45.24,2871.9,Mailed check,2,0
C00397,97.87,417.92,Electronic check,2,0
C00398,27.74,409.86,Bank transfer,1,0
C00399,59.3,1180.73,Credit card,1,0
C00400,72.8,1619.34,Electronic check,4,1
C00401,19.0,1398.03,Credit card,3,0
C00402,86.64,4820.53,Bank transfer,1,0
C00403,65.8,1553.42,Mailed check,3,0
C00404,48.95,3354.43,Bank transfer,6,1
C00405,23.06,805.03,Credit card,6,1
C00406,57.35,2066.31,Mailed check,2,0
C00407,29.29,906.72,Electronic check,2,0
C00408,41.03,494.99,Electronic check,0,0
C00409,46.24,3084.69,Credit card,5,1
C00410,18.0,36.36,Credit card,3,0
C00411,28.8,384.68,Bank transfer,2,0
C00412,56.68,945.82,Credit card,1,0
C00413,51.26,1036.43,Credit card,3,0
C00414,79.58,794.32,Bank transfer,2,0
C00415,72.45,168.61,Electronic check,1,0
C00416,87.07,4262.43,Electronic check,1,0
C00417,56.96,3959.83,Electronic check,3,0
C00418,18.0,169.6,Mailed check,3,0
C00419,73.81,1599.77,Bank transfer,3,0
C00420,64.52,2287.1,Credit card,2,0
C00421,63.98,4259.47,Credit card,2,0
C00422,68.99,3448.68,Electronic check,1,0
C00423,76.95,4230.98,Bank transfer,2,0
C00424,74.76,3145.16,Mailed check,2,0
C00425,75.26,2257.23,Credit card,2,0
C00426,96.15,1444.67,Electronic check,3,0
C00427,53.92,3310.54,Mailed check,3,0
C00428,31.19,1828.11,Mailed check,2,0
C00429,87.15,177.88,Mailed check,7,1
C00430,65.2,3339.37,Bank transfer,1,0
C00431,38.17,218.1,Bank transfer,0,0
C00432,59.45,3150.62,Electronic check,1,0
C00433,54.08,3162.14,Electronic check,2,0
C00434,83.47,857.14,Mailed check,3,1
C00435,29.0,896.65,Bank transfer,0,0
C00436,66.6,551.49,Credit card,6,1
C00437,34.34,1400.72,Electronic check,1,1
C00438,53.97,3569.89,Electronic check,3,0
C00439,64.43,416.22,Credit card,0,0
C00440,47.81,1357.51,Mailed check,2,0
C00441,46.8,3302.18,Electronic check,3,0
C00442,84.09,1864.34,Electronic check,2,0
C00443,79.09,782.06,Mailed check,3,0
C00444,47.22,1670.9,Credit card,2,0
C00445,72.01,2670.85,Mailed check,1,0
C00446,81.94,3922.03,Mailed check,3,0
C00447,66.28,1546.7,Bank transfer,6,1
C00448,51.47,3527.8,Electronic check,4,1
C00449,22.81,815.77,Electronic check,3,0
C00450,71.39,1506.58,Electronic check,3,0
C00451,63.69,4391.75,Mailed check,1,0
C00452,68.04,4500.13,Credit card,0,0
C00453,55.72,1999.22,Mailed check,1,0
C00454,87.58,205.49,Credit card,2,0
C00455,57.36,2428.95,Bank transfer,5,1
C00456,25.95,1041.75,Mailed check,2,0
C00457,34.46,368.55,Mailed check,3,0
C00458,76.49,3514.04,Electronic check,2,0
C00459,60.67,3601.39,Credit card,2,0
C00460,82.22,683.3,Credit card,2,0
C00461,59.56,3069.01,Electronic check,1,0
C00462,63.1,640.1,Credit card,3,0
C00463,89.12,4801.32,Electronic check,4,1
C00464,61.23,1831.37,Electronic check,2,0
C00465,61.87,73.6,Mailed check,0,0
C00466,77.09,5343.91,Electronic check,7,1
C00467,90.46,1058.94,Electronic check,1,0
C00468,49.84,2134.97,Electronic check,3,0
C00469,61.61,806.53,Mailed check,7,1
C00470,80.15,5369.02,Mailed check,1,0
C00471,19.47,1048.94,Credit card,2,0
C00472,32.07,1890.0,Mailed check,0,0
C00473,18.0,544.64,Credit card,1,0
C00474,25.08,836.07,Bank transfer,1,0
C00475,79.85,3684.35,Credit card,3,0
C00476,63.2,3515.29,Mailed check,3,0
C00477,65.04,3976.83,Electronic check,3,0
C00478,42.66,84.27,Credit card,2,0
C00479,75.18,3605.1,Bank transfer,7,1
C00480,62.94,517.65,Credit card,0,0
C00481,36.12,748.73,Bank transfer,1,0
C00482,56.41,3394.02,Electronic check,3,0
C00483,85.03,1524.66,Bank transfer,3,0
C00484,26.96,1522.07,Credit card,3,0
C00485,63.53,2142.04,Bank transfer,0,0
C00486,85.51,1453.16,Bank transfer,1,0
C00487,88.28,2097.29,Electronic check,2,0
C00488,40.67,1542.03,Credit card,7,1
C00489,32.46,1822.0,Electronic check,0,0
C00490,95.84,4222.15,Bank transfer,3,0
C00491,82.29,5494.7,Electronic check,7,1
C00492,25.58,1605.23,Electronic check,0,0
C00493,99.05,5361.14,Credit card,1,0
C00494,60.96,2633.45,Electronic check,3,0
C00495,102.88,2127.79,Mailed check,2,0
C00496,54.98,1628.39,Mailed check,0,0
C00497,74.96,643.65,Bank transfer,2,1
C00498,18.0,479.15,Credit card,0,0
C00499,39.45,2633.01,Credit card,2,0
C00500,64.54,1963.43,Bank transfer,1,0
C00501,45.36,384.36,Bank transfer,0,0
C00502,71.43,3322.71,Electronic check,0,0
C00503,75.65,5235.32,Credit card,1,0
C00504,79.85,4988.14,Electronic check,1,0
C00505,62.57,1256.38,Electronic check,7,1
C00506,72.92,2415.64,Credit card,1,0
C00507,53.51,2032.55,Electronic check,0,0
C00508,59.11,1060.24,Electronic check,6,1
C00509,19.97,413.25,Credit card,1,0
C00510,22.66,366.91,Electronic check,1,1
C00511,91.22,6489.09,Bank transfer,1,0
C00512,26.17,1380.69,Mailed check,2,0
C00513,55.4,3322.88,Credit card,0,0
C00514,38.36,2213.74,Electronic check,3,0
C00515,55.37,3778.18,Electronic check,1,0
C00516,94.88,773.82,Electronic check,3,0
C00517,74.11,4666.64,Electronic check,0,0
C00518,72.1,359.07,Bank transfer,4,1
C00519,41.2,1438.66,Electronic check,0,0
C00520,46.01,1981.26,Mailed check,0,0
C00521,94.36,2438.17,Bank transfer,2,1
C00522,69.98,738.73,Electronic check,2,1
C00523,30.67,422.72,Credit card,2,0
C00524,69.73,4122.03,Mailed check,2,0
C00525,85.49,1937.12,Electronic check,0,0
C00526,80.01,1861.61,Credit card,2,1
C00527,46.0,3027.52,Electronic check,2,0
C00528,59.61,652.04,Bank transfer,5,1
C00529,91.42,5941.43,Electronic check,2,0
C00530,97.09,6379.23,Mailed check,2,0
C00531,68.86,2950.02,Mailed check,2,0
C00532,45.89,558.49,Credit card,3,1
C00533,49.8,595.57,Mailed check,3,0
C00534,19.17,392.3,Bank transfer,7,1
C00535,23.42,953.14,Credit card,2,0
C00536,43.42,488.24,Electronic check,6,1
C00537,87.45,2913.71,Electronic check,2,0
C00538,23.07,203.65,Bank transfer,1,0
C00539,57.85,2238.18,Electronic check,2,0
C00540,38.3,125.37,Electronic check,4,1
C00541,55.4,2845.53,Credit card,3,0
C00542,54.52,215.32,Electronic check,1,0
C00543,25.97,351.18,Credit card,3,0
C00544,21.43,312.7,Electronic check,2,0
C00545,72.55,4335.87,Credit card,1,0
C00546,50.71,202.83,Electronic check,0,0
C00547,25.75,811.93,Bank transfer,3,1
C00548,50.11,2108.32,Bank transfer,1,0
C00549,55.51,2034.42,Bank transfer,0,0
C00550,47.77,2332.69,Bank transfer,0,0
C00551,19.84,1150.5,Credit card,3,0
C00552,71.25,1971.51,Electronic check,0,0
C00553,98.05,5781.17,Bank transfer,1,0
C00554,104.62,2435.33,Bank transfer,6,1
C00555,34.42,2445.43,Credit card,1,0
C00556,77.75,2794.41,Electronic check,1,0
C00557,18.73,991.0,Electronic check,6,1
C00558,18.88,1185.02,Credit card,0,0
C00559,71.17,4014.51,Electronic check,2,0
C00560,30.1,1845.05,Electronic check,3,0
C00561,26.39,1034.13,Electronic check,2,0
C00562,92.35,389.73,Mailed check,6,1
C00563,60.61,2203.0,Bank transfer,3,0
C00564,57.11,754.4,Credit card,6,1
C00565,49.9,3205.65,Mailed check,2,0
C00566,68.62,1145.4,Bank transfer,2,0
C00567,72.29,1232.18,Mailed check,4,1
C00568,30.84,526.64,Bank transfer,3,0
C00569,37.51,1717.34,Electronic check,2,0
C00570,95.12,3932.2,Mailed check,2,0
C00571,67.39,4592.92,Credit card,3,0
C00572,42.92,1293.05,Bank transfer,2,0
C00573,44.27,928.72,Mailed check,0,0
C00574,30.78,122.37,Bank transfer,1,1
C00575,22.84,25.8,Electronic check,2,0
C00576,49.89,1348.49,Bank transfer,5,1
C00577,92.51,6118.85,Electronic check,1,0
C00578,26.97,1065.06,Bank transfer,3,0
C00579,76.53,4926.33,Electronic check,0,0
C00580,23.88,182.03,Mailed check,0,0
C00581,88.64,607.96,Electronic check,3,0
C00582,78.59,4704.58,Credit card,2,1
C00583,45.46,350.84,Credit card,1,0
C00584,37.12,113.5,Bank transfer,0,0
C00585,27.97,813.15,Electronic check,1,0
C00586,107.29,7073.15,Mailed check,0,0
C00587,52.27,2560.75,Credit card,2,0
C00588,76.83,604.55,Bank transfer,1,0
C00589,26.43,1586.78,Electronic check,2,0
C00590,18.0,1066.73,Electronic check,2,0
C00591,92.25,5245.61,Bank transfer,1,0
C00592,47.8,3146.9,Bank transfer,1,0
C00593,58.69,1031.89,Electronic check,1,1
C00594,59.08,4197.63,Electronic check,2,0
C00595,29.14,642.99,Electronic check,3,0
C00596,71.97,4085.42,Mailed check,2,0
C00597,31.95,1316.75,Electronic check,0,0
C00598,77.4,4326.71,Mailed check,0,0
C00599,18.0,742.18,Credit card,0,0
C00600,29.95,1397.54,Credit card,1,1
C00601,102.56,4496.17,Electronic check,0,0
C00602,32.47,1824.44,Bank transfer,0,0
C00603,65.22,3491.13,Bank transfer,1,0
C00604,62.85,618.06,Bank transfer,2,0
C00605,60.16,3557.3,Credit card,1,0
C00606,75.3,2918.19,Credit card,4,1
C00607,50.36,1174.76,Bank transfer,3,0
C00608,67.29,2496.78,Bank transfer,2,0
C00609,47.09,3224.18,Electronic check,1,0
C00610,84.28,5167.92,Electronic check,2,1
C00611,73.41,4402.59,Electronic check,3,1
C00612,69.44,2287.97,Electronic check,2,0
